Number of Variables;4;
Variables:;
0;;this;
1;;br;
2;;firstBlockSize;
3;;WRITE_CONCAT_BUFFER;

Number of Block duas;7;
Line Duas for method; <init>;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;66;;71;0;this;
2;66;;69;0;this;
3;66;68;69;1;br;
4;66;68;71;1;br;
5;66;;71;1;br;
6;66;;69;2;firstBlockSize;
7;66;;71;6;WRITE_CONCAT_BUFFER;

Block Duas for method; <init>;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;1;0;this;
;66;;71;0;this;
2;0;;3;0;this;
;66;;69;0;this;
3;0;0;3;1;br;
;66;68;69;1;br;
4;0;0;1;1;br;
;66;68;71;1;br;
5;0;;1;1;br;
;66;;71;1;br;
6;0;;3;2;firstBlockSize;
;66;;69;2;firstBlockSize;
7;0;;1;3;WRITE_CONCAT_BUFFER;
;66;;71;6;WRITE_CONCAT_BUFFER;
