Number of Variables;4;
Variables:;
0;;this;
1;;b24;
2;;this._currBlock;
3;;this._currBlockPtr;

Number of Block duas;12;
Line Duas for method; appendThreeBytes;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;119;119;120;0;this;
2;119;119;124;0;this;
3;119;;124;0;this;
4;119;;125;0;this;
5;119;;126;0;this;
6;119;;120;0;this;
7;119;;120;0;this;
8;119;;121;0;this;
9;119;;121;0;this;
10;119;;122;0;this;
11;119;;122;0;this;
12;119;;124;1;b24;
13;119;;125;1;b24;
14;119;;126;1;b24;
15;119;;120;1;b24;
16;119;;121;1;b24;
17;119;;122;1;b24;
18;119;119;120;2;this._currBlock;
19;119;119;124;2;this._currBlock;
20;119;;120;2;this._currBlock;
21;119;;121;2;this._currBlock;
22;119;;122;2;this._currBlock;
23;119;119;120;3;this._currBlockPtr;
24;119;119;124;3;this._currBlockPtr;
25;119;;120;3;this._currBlockPtr;

Block Duas for method; appendThreeBytes;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;3;0;this;
;119;119;120;0;this;
2;0;0;1;0;this;
;119;119;124;0;this;
3;0;;1;0;this;
;119;;124;0;this;
;119;;125;0;this;
;119;;126;0;this;
4;0;;3;0;this;
;119;;120;0;this;
;119;;120;0;this;
;119;;121;0;this;
;119;;121;0;this;
;119;;122;0;this;
;119;;122;0;this;
5;0;;1;1;b24;
;119;;124;1;b24;
;119;;125;1;b24;
;119;;126;1;b24;
6;0;;3;1;b24;
;119;;120;1;b24;
;119;;121;1;b24;
;119;;122;1;b24;
7;0;0;3;2;this._currBlock;
;119;119;120;2;this._currBlock;
8;0;0;1;2;this._currBlock;
;119;119;124;2;this._currBlock;
9;0;;3;2;this._currBlock;
;119;;120;2;this._currBlock;
;119;;121;2;this._currBlock;
;119;;122;2;this._currBlock;
10;0;0;3;3;this._currBlockPtr;
;119;119;120;3;this._currBlockPtr;
11;0;0;1;3;this._currBlockPtr;
;119;119;124;3;this._currBlockPtr;
12;0;;3;3;this._currBlockPtr;
;119;;120;3;this._currBlockPtr;
