Number of Variables;4;
Variables:;
0;;this;
1;;b16;
2;;this._currBlock;
3;;this._currBlockPtr;

Number of Block duas;12;
Line Duas for method; appendTwoBytes;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;108;108;109;0;this;
2;108;108;112;0;this;
3;108;;112;0;this;
4;108;;113;0;this;
5;108;;109;0;this;
6;108;;109;0;this;
7;108;;110;0;this;
8;108;;110;0;this;
9;108;;112;1;b16;
10;108;;113;1;b16;
11;108;;109;1;b16;
12;108;;110;1;b16;
13;108;108;109;2;this._currBlock;
14;108;108;112;2;this._currBlock;
15;108;;109;2;this._currBlock;
16;108;;110;2;this._currBlock;
17;108;108;109;3;this._currBlockPtr;
18;108;108;112;3;this._currBlockPtr;
19;108;;109;3;this._currBlockPtr;

Block Duas for method; appendTwoBytes;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;3;0;this;
;108;108;109;0;this;
2;0;0;1;0;this;
;108;108;112;0;this;
3;0;;1;0;this;
;108;;112;0;this;
;108;;113;0;this;
4;0;;3;0;this;
;108;;109;0;this;
;108;;109;0;this;
;108;;110;0;this;
;108;;110;0;this;
5;0;;1;1;b16;
;108;;112;1;b16;
;108;;113;1;b16;
6;0;;3;1;b16;
;108;;109;1;b16;
;108;;110;1;b16;
7;0;0;3;2;this._currBlock;
;108;108;109;2;this._currBlock;
8;0;0;1;2;this._currBlock;
;108;108;112;2;this._currBlock;
9;0;;3;2;this._currBlock;
;108;;109;2;this._currBlock;
;108;;110;2;this._currBlock;
10;0;0;3;3;this._currBlockPtr;
;108;108;109;3;this._currBlockPtr;
11;0;0;1;3;this._currBlockPtr;
;108;108;112;3;this._currBlockPtr;
12;0;;3;3;this._currBlockPtr;
;108;;109;3;this._currBlockPtr;
