Number of Variables;4;
Variables:;
0;;this;
1;;this._bufferRecycler;
2;;this._currBlock;
3;;WRITE_CONCAT_BUFFER;

Number of Block duas;12;
Line Duas for method; release;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;91;92;92;0;this;
2;91;92;96;0;this;
3;91;92;93;0;this;
4;91;92;96;0;this;
5;91;;93;0;this;
6;91;;94;0;this;
7;91;92;92;1;this._bufferRecycler;
8;91;92;96;1;this._bufferRecycler;
9;91;;93;1;this._bufferRecycler;
10;91;92;93;2;this._currBlock;
11;91;92;96;2;this._currBlock;
12;91;;93;2;this._currBlock;
13;91;;93;3;WRITE_CONCAT_BUFFER;

Block Duas for method; release;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;this;
;91;92;92;0;this;
2;0;0;1;0;this;
;91;92;96;0;this;
3;0;2;3;0;this;
;91;92;93;0;this;
4;0;2;1;0;this;
;91;92;96;0;this;
5;0;;3;0;this;
;91;;93;0;this;
;91;;94;0;this;
6;0;0;2;1;this._bufferRecycler;
;91;92;92;1;this._bufferRecycler;
7;0;0;1;1;this._bufferRecycler;
;91;92;96;1;this._bufferRecycler;
8;0;;3;1;this._bufferRecycler;
;91;;93;1;this._bufferRecycler;
9;0;2;3;2;this._currBlock;
;91;92;93;2;this._currBlock;
10;0;2;1;2;this._currBlock;
;91;92;96;2;this._currBlock;
11;0;;3;2;this._currBlock;
;91;;93;2;this._currBlock;
12;0;;3;3;WRITE_CONCAT_BUFFER;
;91;;93;3;WRITE_CONCAT_BUFFER;
