Number of Variables;2;
Variables:;
0;;this;
1;;this._pastBlocks;

Number of Block duas;6;
Line Duas for method; reset;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;77;80;81;0;this;
2;77;80;83;0;this;
3;77;;81;0;this;
4;77;80;81;3;this._pastBlocks;
5;77;80;83;3;this._pastBlocks;
6;77;;81;3;this._pastBlocks;

Block Duas for method; reset;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;this;
;77;80;81;0;this;
2;0;0;1;0;this;
;77;80;83;0;this;
3;0;;2;0;this;
;77;;81;0;this;
4;0;0;2;1;this._pastBlocks;
;77;80;81;3;this._pastBlocks;
5;0;0;1;1;this._pastBlocks;
;77;80;83;3;this._pastBlocks;
6;0;;2;1;this._pastBlocks;
;77;;81;3;this._pastBlocks;
