Number of Variables;2;
Variables:;
0;;this;
1;;quad;

Number of Block duas;13;
Line Duas for method; checkUTF32;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;442;;449;0;this;
2;442;;456;0;this;
3;442;;447;0;this;
4;442;;445;0;this;
5;442;;443;0;this;
6;442;442;443;1;quad;
7;442;442;444;1;quad;
8;442;444;445;1;quad;
9;442;444;446;1;quad;
10;442;446;447;1;quad;
11;442;446;448;1;quad;
12;442;448;449;1;quad;
13;442;448;452;1;quad;

Block Duas for method; checkUTF32;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;5;0;this;
;442;;449;0;this;
2;0;;6;0;this;
;442;;456;0;this;
3;0;;7;0;this;
;442;;447;0;this;
4;0;;8;0;this;
;442;;445;0;this;
5;0;;9;0;this;
;442;;443;0;this;
6;0;0;9;1;quad;
;442;442;443;1;quad;
7;0;0;1;1;quad;
;442;442;444;1;quad;
8;0;1;8;1;quad;
;442;444;445;1;quad;
9;0;1;2;1;quad;
;442;444;446;1;quad;
10;0;2;7;1;quad;
;442;446;447;1;quad;
11;0;2;3;1;quad;
;442;446;448;1;quad;
12;0;3;5;1;quad;
;442;448;449;1;quad;
13;0;3;4;1;quad;
;442;448;452;1;quad;
