Number of Variables;15;
Variables:;
0;;this;
1;;parserFeatures;
2;;codec;
3;;rootByteSymbols;
4;;rootCharSymbols;
5;;canonicalize;
6;;intern;
7;;UTF8;
8;;this._context;
9;;this._in;
10;;this._inputBuffer;
11;;this._inputPtr;
12;;this._inputEnd;
13;;this._bufferRecyclable;
14;;enc;

Number of Block duas;25;
Line Duas for method; constructParser;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;227;;238;0;this;
2;227;;235;0;this;
3;227;;238;1;parserFeatures;
4;227;;235;1;parserFeatures;
5;227;;238;2;codec;
6;227;;235;2;codec;
7;227;;234;3;rootByteSymbols;
8;227;;238;4;rootCharSymbols;
9;227;;238;5;canonicalize;
10;227;233;234;5;canonicalize;
11;227;233;238;5;canonicalize;
12;227;;234;5;canonicalize;
13;227;;238;6;intern;
14;227;;234;6;intern;
15;227;229;233;8;UTF8;
16;227;229;238;8;UTF8;
17;227;;238;10;this._context;
18;227;;235;10;this._context;
19;227;;235;11;this._in;
20;227;;235;12;this._inputBuffer;
21;227;;235;13;this._inputPtr;
22;227;;235;14;this._inputEnd;
23;227;;235;15;this._bufferRecyclable;
24;227;229;233;7;enc;
25;227;229;238;7;enc;

Block Duas for method; constructParser;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;1;0;this;
;227;;238;0;this;
2;0;;3;0;this;
;227;;235;0;this;
3;0;;1;1;parserFeatures;
;227;;238;1;parserFeatures;
4;0;;3;1;parserFeatures;
;227;;235;1;parserFeatures;
5;0;;1;2;codec;
;227;;238;2;codec;
6;0;;3;2;codec;
;227;;235;2;codec;
7;0;;3;3;rootByteSymbols;
;227;;234;3;rootByteSymbols;
8;0;;1;4;rootCharSymbols;
;227;;238;4;rootCharSymbols;
9;0;;1;5;canonicalize;
;227;;238;5;canonicalize;
10;0;2;3;5;canonicalize;
;227;233;234;5;canonicalize;
11;0;2;1;5;canonicalize;
;227;233;238;5;canonicalize;
12;0;;3;5;canonicalize;
;227;;234;5;canonicalize;
13;0;;1;6;intern;
;227;;238;6;intern;
14;0;;3;6;intern;
;227;;234;6;intern;
15;0;0;2;7;UTF8;
;227;229;233;8;UTF8;
16;0;0;1;7;UTF8;
;227;229;238;8;UTF8;
17;0;;1;8;this._context;
;227;;238;10;this._context;
18;0;;3;8;this._context;
;227;;235;10;this._context;
19;0;;3;9;this._in;
;227;;235;11;this._in;
20;0;;3;10;this._inputBuffer;
;227;;235;12;this._inputBuffer;
21;0;;3;11;this._inputPtr;
;227;;235;13;this._inputPtr;
22;0;;3;12;this._inputEnd;
;227;;235;14;this._inputEnd;
23;0;;3;13;this._bufferRecyclable;
;227;;235;15;this._bufferRecyclable;
24;0;0;2;14;enc;
;227;229;233;7;enc;
25;0;0;1;14;enc;
;227;229;238;7;enc;
