Number of Variables;7;
Variables:;
0;;this;
1;;minimum;
2;;this._inputEnd;
3;;this._in;
4;;this._inputBuffer;
5;;gotten;
6;;count;

Number of Block duas;26;
Line Duas for method; ensureLoaded;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;499;503;504;0;this;
2;499;503;506;0;this;
3;499;;506;0;this;
4;499;;511;0;this;
5;499;500;503;1;minimum;
6;499;500;514;1;minimum;
7;499;;506;3;this._inputEnd;
8;499;;511;3;this._inputEnd;
9;499;503;504;5;this._in;
10;499;503;506;5;this._in;
11;499;;506;5;this._in;
12;499;;506;7;this._inputBuffer;
13;499;500;503;2;gotten;
14;499;500;514;2;gotten;
15;499;;512;2;gotten;
16;504;508;509;6;count;
17;504;508;511;6;count;
18;504;;511;6;count;
19;504;;512;6;count;
20;506;508;509;6;count;
21;506;508;511;6;count;
22;506;;511;6;count;
23;506;;512;6;count;
24;511;;506;3;this._inputEnd;
25;511;;511;3;this._inputEnd;
26;512;500;503;2;gotten;
27;512;500;514;2;gotten;
28;512;;512;2;gotten;

Block Duas for method; ensureLoaded;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;3;8;0;this;
;499;503;504;0;this;
2;0;3;4;0;this;
;499;503;506;0;this;
3;0;;4;0;this;
;499;;506;0;this;
4;0;;6;0;this;
;499;;511;0;this;
5;0;1;3;1;minimum;
;499;500;503;1;minimum;
6;0;1;2;1;minimum;
;499;500;514;1;minimum;
7;0;;4;2;this._inputEnd;
;499;;506;3;this._inputEnd;
8;0;;6;2;this._inputEnd;
;499;;511;3;this._inputEnd;
9;0;3;8;3;this._in;
;499;503;504;5;this._in;
10;0;3;4;3;this._in;
;499;503;506;5;this._in;
11;0;;4;3;this._in;
;499;;506;5;this._in;
12;0;;4;4;this._inputBuffer;
;499;;506;7;this._inputBuffer;
13;0;1;3;5;gotten;
;499;500;503;2;gotten;
14;0;1;2;5;gotten;
;499;500;514;2;gotten;
15;0;;6;5;gotten;
;499;;512;2;gotten;
16;8;5;7;6;count;
;504;508;509;6;count;
17;8;5;6;6;count;
;504;508;511;6;count;
18;8;;6;6;count;
;504;;511;6;count;
;504;;512;6;count;
19;4;5;7;6;count;
;506;508;509;6;count;
20;4;5;6;6;count;
;506;508;511;6;count;
21;4;;6;6;count;
;506;;511;6;count;
;506;;512;6;count;
22;6;;4;2;this._inputEnd;
;511;;506;3;this._inputEnd;
23;6;;6;2;this._inputEnd;
;511;;511;3;this._inputEnd;
24;6;1;3;5;gotten;
;512;500;503;2;gotten;
25;6;1;2;5;gotten;
;512;500;514;2;gotten;
26;6;;6;5;gotten;
;512;;512;2;gotten;
