Number of Variables;2;
Variables:;
0;;collection;
1;;changed;

Number of Block duas;5;
Line Duas for method; addAll;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;1342;;1344;0;collection;
2;1342;;1346;2;changed;
3;1342;;1344;2;changed;
4;1343;;1343;3;null;
5;1343;1343;1343;4;null;
6;1343;1343;1346;4;null;
7;1343;1343;1343;5;null;
8;1343;1343;1346;5;null;
9;1343;;1343;5;null;
10;1343;;1343;5;null;
11;1344;;1346;2;changed;
12;1344;;1344;2;changed;
13;1343;1343;1343;5;null;
14;1343;1343;1346;5;null;
15;1343;;1343;5;null;
16;1343;;1343;5;null;

Block Duas for method; addAll;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;3;0;collection;
;1342;;1344;0;collection;
2;0;;2;1;changed;
;1342;;1346;2;changed;
3;0;;3;1;changed;
;1342;;1344;2;changed;
4;3;;2;1;changed;
;1344;;1346;2;changed;
5;3;;3;1;changed;
;1344;;1344;2;changed;
