Number of Variables;9;
Variables:;
0;;a;
1;;b;
2;;c;
3;;includeDuplicates;
4;;totalSize;
5;;iterator;
6;;mergedList;
7;;lastItem;
8;;item;

Number of Block duas;35;
Line Duas for method; collate;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;1757;1757;1757;0;a;
2;1757;1757;1758;0;a;
3;1757;1765;1765;0;a;
4;1757;1765;1766;0;a;
5;1757;;1766;0;a;
6;1757;;1768;0;a;
7;1757;1757;1758;1;b;
8;1757;1757;1760;1;b;
9;1757;;1766;1;b;
10;1757;;1768;1;b;
11;1757;1765;1765;1;b;
12;1757;1765;1766;1;b;
13;1757;1760;1761;2;c;
14;1757;1760;1765;2;c;
15;1757;;1768;2;c;
16;1757;1769;1770;3;includeDuplicates;
17;1757;1769;1772;3;includeDuplicates;
18;1766;;1772;4;totalSize;
19;1766;;1770;4;totalSize;
20;1768;1775;1776;5;iterator;
21;1768;1775;1783;5;iterator;
22;1768;;1776;5;iterator;
23;1768;;1770;5;iterator;
24;1772;;1783;6;mergedList;
25;1772;;1784;6;mergedList;
26;1772;;1778;6;mergedList;
27;1774;1777;1777;7;lastItem;
28;1774;1777;1778;7;lastItem;
29;1774;1777;1778;7;lastItem;
30;1774;1777;1780;7;lastItem;
31;1776;;1778;8;item;
32;1776;;1780;8;item;
33;1776;1777;1778;8;item;
34;1776;1777;1780;8;item;
35;1780;1777;1777;7;lastItem;
36;1780;1777;1778;7;lastItem;
37;1780;1777;1778;7;lastItem;
38;1780;1777;1780;7;lastItem;

Block Duas for method; collate;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;a;
;1757;1757;1757;0;a;
2;0;0;1;0;a;
;1757;1757;1758;0;a;
3;0;4;15;0;a;
;1757;1765;1765;0;a;
4;0;4;5;0;a;
;1757;1765;1766;0;a;
5;0;;6;0;a;
;1757;;1766;0;a;
;1757;;1768;0;a;
6;0;2;1;1;b;
;1757;1757;1758;1;b;
7;0;2;3;1;b;
;1757;1757;1760;1;b;
8;0;;6;1;b;
;1757;;1766;1;b;
;1757;;1768;1;b;
9;0;15;16;1;b;
;1757;1765;1765;1;b;
10;0;15;5;1;b;
;1757;1765;1766;1;b;
11;0;3;17;2;c;
;1757;1760;1761;2;c;
12;0;3;4;2;c;
;1757;1760;1765;2;c;
13;0;;6;2;c;
;1757;;1768;2;c;
14;0;6;14;3;includeDuplicates;
;1757;1769;1770;3;includeDuplicates;
15;0;6;7;3;includeDuplicates;
;1757;1769;1772;3;includeDuplicates;
16;6;;7;4;totalSize;
;1766;;1772;4;totalSize;
17;6;;14;4;totalSize;
;1766;;1770;4;totalSize;
18;6;8;10;5;iterator;
;1768;1775;1776;5;iterator;
19;6;8;9;5;iterator;
;1768;1775;1783;5;iterator;
20;6;;10;5;iterator;
;1768;;1776;5;iterator;
21;6;;14;5;iterator;
;1768;;1770;5;iterator;
22;7;;9;6;mergedList;
;1772;;1783;6;mergedList;
;1772;;1784;6;mergedList;
23;7;;11;6;mergedList;
;1772;;1778;6;mergedList;
24;7;10;13;7;lastItem;
;1774;1777;1777;7;lastItem;
25;7;10;11;7;lastItem;
;1774;1777;1778;7;lastItem;
26;7;13;11;7;lastItem;
;1774;1777;1778;7;lastItem;
27;7;13;12;7;lastItem;
;1774;1777;1780;7;lastItem;
28;10;;11;8;item;
;1776;;1778;8;item;
29;10;;12;8;item;
;1776;;1780;8;item;
30;10;13;11;8;item;
;1776;1777;1778;8;item;
31;10;13;12;8;item;
;1776;1777;1780;8;item;
32;12;10;13;7;lastItem;
;1780;1777;1777;7;lastItem;
33;12;10;11;7;lastItem;
;1780;1777;1778;7;lastItem;
34;12;13;11;7;lastItem;
;1780;1777;1778;7;lastItem;
35;12;13;12;7;lastItem;
;1780;1777;1780;7;lastItem;
