Number of Variables;3;
Variables:;
0;;inputIterator;
1;;transformer;
2;;outputCollection;

Number of Block duas;10;
Line Duas for method; collect;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;1252;1252;1252;0;inputIterator;
2;1252;1252;1259;0;inputIterator;
3;1252;1253;1254;0;inputIterator;
4;1252;1253;1259;0;inputIterator;
5;1252;;1254;0;inputIterator;
6;1252;1252;1253;1;transformer;
7;1252;1252;1259;1;transformer;
8;1252;;1255;1;transformer;
9;1252;;1259;2;outputCollection;
10;1252;;1256;2;outputCollection;

Block Duas for method; collect;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;inputIterator;
;1252;1252;1252;0;inputIterator;
2;0;0;1;0;inputIterator;
;1252;1252;1259;0;inputIterator;
3;0;3;4;0;inputIterator;
;1252;1253;1254;0;inputIterator;
4;0;3;1;0;inputIterator;
;1252;1253;1259;0;inputIterator;
5;0;;4;0;inputIterator;
;1252;;1254;0;inputIterator;
6;0;2;3;1;transformer;
;1252;1252;1253;1;transformer;
7;0;2;1;1;transformer;
;1252;1252;1259;1;transformer;
8;0;;4;1;transformer;
;1252;;1255;1;transformer;
9;0;;1;2;outputCollection;
;1252;;1259;2;outputCollection;
10;0;;4;2;outputCollection;
;1252;;1256;2;outputCollection;
