Number of Variables;2;
Variables:;
0;;collection;
1;;EMPTY_COLLECTION;

Number of Block duas;4;
Line Duas for method; emptyIfNull;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;214;214;214;0;collection;
2;214;214;214;0;collection;
3;214;;214;0;collection;
4;214;;214;1;EMPTY_COLLECTION;

Block Duas for method; emptyIfNull;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;3;0;collection;
;214;214;214;0;collection;
2;0;0;1;0;collection;
;214;214;214;0;collection;
3;0;;2;0;collection;
;214;;214;0;collection;
4;0;;2;1;EMPTY_COLLECTION;
;214;;214;1;EMPTY_COLLECTION;
