Number of Variables;2;
Variables:;
0;;collection;
1;;predicate;

Number of Block duas;4;
Line Duas for method; filterInverse;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;783;;783;0;collection;
2;783;783;783;1;predicate;
3;783;783;783;1;predicate;
4;783;;783;1;predicate;

Block Duas for method; filterInverse;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;2;0;collection;
;783;;783;0;collection;
2;0;0;3;1;predicate;
;783;783;783;1;predicate;
3;0;0;1;1;predicate;
;783;783;783;1;predicate;
4;0;;2;1;predicate;
;783;;783;1;predicate;
