Number of Variables;3;
Variables:;
0;;iterator;
1;;closure;
2;;element;

Number of Block duas;12;
Line Duas for method; forAllButLastDo;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;731;731;731;0;iterator;
2;731;731;741;0;iterator;
3;731;732;733;0;iterator;
4;731;732;741;0;iterator;
5;731;;733;0;iterator;
6;731;734;735;0;iterator;
7;731;734;737;0;iterator;
8;731;731;732;1;closure;
9;731;731;741;1;closure;
10;731;;735;1;closure;
11;733;;737;2;element;
12;733;;735;2;element;

Block Duas for method; forAllButLastDo;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;iterator;
;731;731;731;0;iterator;
2;0;0;1;0;iterator;
;731;731;741;0;iterator;
3;0;3;4;0;iterator;
;731;732;733;0;iterator;
4;0;3;1;0;iterator;
;731;732;741;0;iterator;
5;0;;4;0;iterator;
;731;;733;0;iterator;
6;0;4;6;0;iterator;
;731;734;735;0;iterator;
7;0;4;5;0;iterator;
;731;734;737;0;iterator;
8;0;2;3;1;closure;
;731;731;732;1;closure;
9;0;2;1;1;closure;
;731;731;741;1;closure;
10;0;;6;1;closure;
;731;;735;1;closure;
11;4;;5;2;element;
;733;;737;2;element;
12;4;;6;2;element;
;733;;735;2;element;
