Number of Variables;1;
Variables:;
0;;coll;

Number of Block duas;6;
Line Duas for method; isFull;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;1633;1633;1634;0;coll;
2;1633;1633;1636;0;coll;
3;1633;1636;1637;0;coll;
4;1633;1636;1640;0;coll;
5;1633;;1641;0;coll;
6;1633;;1637;0;coll;

Block Duas for method; isFull;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;4;0;coll;
;1633;1633;1634;0;coll;
2;0;0;1;0;coll;
;1633;1633;1636;0;coll;
3;0;1;3;0;coll;
;1633;1636;1637;0;coll;
4;0;1;2;0;coll;
;1633;1636;1640;0;coll;
5;0;;2;0;coll;
;1633;;1641;0;coll;
6;0;;3;0;coll;
;1633;;1637;0;coll;
