Number of Variables;10;
Variables:;
0;;inputCollection;
1;;partitionFactory;
2;;predicates;
3;;numberOfPredicates;
4;;numberOfPartitions;
5;;partitions;
6;;i;
7;;element;
8;;elementAssigned;
9;;i;

Number of Block duas;48;
Line Duas for method; partition;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;1126;1126;1127;0;inputCollection;
2;1126;1126;1130;0;inputCollection;
3;1126;;1133;0;inputCollection;
4;1126;;1149;0;inputCollection;
5;1126;;1132;1;partitionFactory;
6;1126;;1142;1;partitionFactory;
7;1126;1130;1130;2;predicates;
8;1126;1130;1132;2;predicates;
9;1126;1130;1132;2;predicates;
10;1126;1130;1138;2;predicates;
11;1126;;1138;2;predicates;
12;1126;1152;1153;2;predicates;
13;1126;1152;1151;2;predicates;
14;1138;1151;1152;3;numberOfPredicates;
15;1138;1151;1159;3;numberOfPredicates;
16;1138;;1162;3;numberOfPredicates;
17;1139;1141;1142;4;numberOfPartitions;
18;1139;1141;1149;4;numberOfPartitions;
19;1140;;1166;5;partitions;
20;1140;;1162;5;partitions;
21;1140;;1153;5;partitions;
22;1140;;1142;5;partitions;
23;1141;1141;1142;6;i;
24;1141;1141;1149;6;i;
25;1141;;1141;6;i;
26;1141;1141;1142;6;i;
27;1141;1141;1149;6;i;
28;1141;;1141;6;i;
29;1149;1149;1149;6;null;
30;1149;1149;1166;6;null;
31;1149;;1149;6;null;
32;1149;;1162;7;element;
33;1149;1152;1153;7;element;
34;1149;1152;1151;7;element;
35;1149;;1153;7;element;
36;1150;1159;1162;8;elementAssigned;
37;1150;1159;1164;8;elementAssigned;
38;1151;1151;1152;9;i;
39;1151;1151;1159;9;i;
40;1151;1152;1153;9;i;
41;1151;1152;1151;9;i;
42;1151;;1151;9;i;
43;1151;;1153;9;i;
44;1154;1159;1162;8;elementAssigned;
45;1154;1159;1164;8;elementAssigned;
46;1151;1151;1152;9;i;
47;1151;1151;1159;9;i;
48;1151;1152;1153;9;i;
49;1151;1152;1151;9;i;
50;1151;;1151;9;i;
51;1151;;1153;9;i;

Block Duas for method; partition;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;18;0;inputCollection;
;1126;1126;1127;0;inputCollection;
2;0;0;1;0;inputCollection;
;1126;1126;1130;0;inputCollection;
3;0;;2;0;inputCollection;
;1126;;1133;0;inputCollection;
4;0;;6;0;inputCollection;
;1126;;1149;0;inputCollection;
5;0;;2;1;partitionFactory;
;1126;;1132;1;partitionFactory;
6;0;;17;1;partitionFactory;
;1126;;1142;1;partitionFactory;
7;0;1;3;2;predicates;
;1126;1130;1130;2;predicates;
8;0;1;2;2;predicates;
;1126;1130;1132;2;predicates;
9;0;3;2;2;predicates;
;1126;1130;1132;2;predicates;
10;0;3;4;2;predicates;
;1126;1130;1138;2;predicates;
11;0;;4;2;predicates;
;1126;;1138;2;predicates;
12;0;14;16;2;predicates;
;1126;1152;1153;2;predicates;
13;0;14;15;2;predicates;
;1126;1152;1151;2;predicates;
14;4;10;14;3;numberOfPredicates;
;1138;1151;1152;3;numberOfPredicates;
15;4;10;11;3;numberOfPredicates;
;1138;1151;1159;3;numberOfPredicates;
16;4;;13;3;numberOfPredicates;
;1138;;1162;3;numberOfPredicates;
17;4;5;17;4;numberOfPartitions;
;1139;1141;1142;4;numberOfPartitions;
18;4;5;6;4;numberOfPartitions;
;1139;1141;1149;4;numberOfPartitions;
19;4;;8;5;partitions;
;1140;;1166;5;partitions;
20;4;;13;5;partitions;
;1140;;1162;5;partitions;
21;4;;16;5;partitions;
;1140;;1153;5;partitions;
22;4;;17;5;partitions;
;1140;;1142;5;partitions;
23;4;5;17;6;i;
;1141;1141;1142;6;i;
24;4;5;6;6;i;
;1141;1141;1149;6;i;
25;4;;17;6;i;
;1141;;1141;6;i;
26;17;5;17;6;i;
;1141;1141;1142;6;i;
27;17;5;6;6;i;
;1141;1141;1149;6;i;
28;17;;17;6;i;
;1141;;1141;6;i;
29;9;;13;7;element;
;1149;;1162;7;element;
30;9;14;16;7;element;
;1149;1152;1153;7;element;
31;9;14;15;7;element;
;1149;1152;1151;7;element;
32;9;;16;7;element;
;1149;;1153;7;element;
33;9;11;13;8;elementAssigned;
;1150;1159;1162;8;elementAssigned;
34;9;11;12;8;elementAssigned;
;1150;1159;1164;8;elementAssigned;
35;9;10;14;9;i;
;1151;1151;1152;9;i;
36;9;10;11;9;i;
;1151;1151;1159;9;i;
37;9;14;16;9;i;
;1151;1152;1153;9;i;
38;9;14;15;9;i;
;1151;1152;1151;9;i;
39;9;;15;9;i;
;1151;;1151;9;i;
40;9;;16;9;i;
;1151;;1153;9;i;
41;16;11;13;8;elementAssigned;
;1154;1159;1162;8;elementAssigned;
42;16;11;12;8;elementAssigned;
;1154;1159;1164;8;elementAssigned;
43;15;10;14;9;i;
;1151;1151;1152;9;i;
44;15;10;11;9;i;
;1151;1151;1159;9;i;
45;15;14;16;9;i;
;1151;1152;1153;9;i;
46;15;14;15;9;i;
;1151;1152;1151;9;i;
47;15;;15;9;i;
;1151;;1151;9;i;
48;15;;16;9;i;
;1151;;1153;9;i;
