Number of Variables;4;
Variables:;
0;;equator;
1;;removeSet;
2;;list;
3;;element;

Number of Block duas;6;
Line Duas for method; removeAll;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;1948;;1959;2;equator;
2;1955;1959;1960;4;removeSet;
3;1955;1959;1962;4;removeSet;
4;1957;;1963;5;list;
5;1957;;1960;5;list;
6;1958;1958;1958;6;null;
7;1958;1958;1963;6;null;
8;1958;;1958;6;null;
9;1958;;1960;7;element;

Block Duas for method; removeAll;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;3;0;equator;
;1948;;1959;2;equator;
2;0;3;5;1;removeSet;
;1955;1959;1960;4;removeSet;
3;0;3;4;1;removeSet;
;1955;1959;1962;4;removeSet;
4;0;;2;2;list;
;1957;;1963;5;list;
5;0;;5;2;list;
;1957;;1960;5;list;
6;3;;5;3;element;
;1958;;1960;7;element;
