Number of Variables;3;
Variables:;
0;;array;
1;;i;
2;;j;

Number of Block duas;13;
Line Duas for method; reverseArray;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;1604;;1609;0;array;
2;1604;;1610;0;array;
3;1604;;1611;0;array;
4;1604;1608;1609;1;i;
5;1604;1608;1615;1;i;
6;1604;;1610;1;i;
7;1604;;1611;1;i;
8;1604;;1613;1;i;
9;1605;1608;1609;2;j;
10;1605;1608;1615;2;j;
11;1605;;1609;2;j;
12;1605;;1610;2;j;
13;1605;;1612;2;j;
14;1612;1608;1609;2;j;
15;1612;1608;1615;2;j;
16;1612;;1609;2;j;
17;1612;;1610;2;j;
18;1612;;1612;2;j;
19;1613;1608;1609;1;i;
20;1613;1608;1615;1;i;
21;1613;;1610;1;i;
22;1613;;1611;1;i;
23;1613;;1613;1;i;

Block Duas for method; reverseArray;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;3;0;array;
;1604;;1609;0;array;
;1604;;1610;0;array;
;1604;;1611;0;array;
2;0;1;3;1;i;
;1604;1608;1609;1;i;
3;0;1;2;1;i;
;1604;1608;1615;1;i;
4;0;;3;1;i;
;1604;;1610;1;i;
;1604;;1611;1;i;
;1604;;1613;1;i;
5;0;1;3;2;j;
;1605;1608;1609;2;j;
6;0;1;2;2;j;
;1605;1608;1615;2;j;
7;0;;3;2;j;
;1605;;1609;2;j;
;1605;;1610;2;j;
;1605;;1612;2;j;
8;3;1;3;2;j;
;1612;1608;1609;2;j;
9;3;1;2;2;j;
;1612;1608;1615;2;j;
10;3;;3;2;j;
;1612;;1609;2;j;
;1612;;1610;2;j;
;1612;;1612;2;j;
11;3;1;3;1;i;
;1613;1608;1609;1;i;
12;3;1;2;1;i;
;1613;1608;1615;1;i;
13;3;;3;1;i;
;1613;;1610;1;i;
;1613;;1611;1;i;
;1613;;1613;1;i;
