Number of Variables;4;
Variables:;
0;;inputCollection;
1;;predicate;
2;;outputCollection;
3;;item;

Number of Block duas;12;
Line Duas for method; select;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;911;911;911;0;inputCollection;
2;911;911;918;0;inputCollection;
3;911;;912;0;inputCollection;
4;911;911;912;1;predicate;
5;911;911;918;1;predicate;
6;911;913;914;1;predicate;
7;911;913;916;1;predicate;
8;911;;918;2;outputCollection;
9;911;;914;2;outputCollection;
10;912;912;912;3;null;
11;912;912;918;3;null;
12;912;;912;3;null;
13;912;913;914;4;item;
14;912;913;916;4;item;
15;912;;914;4;item;

Block Duas for method; select;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;inputCollection;
;911;911;911;0;inputCollection;
2;0;0;1;0;inputCollection;
;911;911;918;0;inputCollection;
3;0;;3;0;inputCollection;
;911;;912;0;inputCollection;
4;0;2;3;1;predicate;
;911;911;912;1;predicate;
5;0;2;1;1;predicate;
;911;911;918;1;predicate;
6;0;5;7;1;predicate;
;911;913;914;1;predicate;
7;0;5;6;1;predicate;
;911;913;916;1;predicate;
8;0;;1;2;outputCollection;
;911;;918;2;outputCollection;
9;0;;7;2;outputCollection;
;911;;914;2;outputCollection;
10;5;5;7;3;item;
;912;913;914;4;item;
11;5;5;6;3;item;
;912;913;916;4;item;
12;5;;7;3;item;
;912;;914;4;item;
