Number of Variables;4;
Variables:;
0;;inputCollection;
1;;predicate;
2;;outputCollection;
3;;item;

Number of Block duas;12;
Line Duas for method; selectRejected;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;959;959;959;0;inputCollection;
2;959;959;966;0;inputCollection;
3;959;;960;0;inputCollection;
4;959;959;960;1;predicate;
5;959;959;966;1;predicate;
6;959;961;962;1;predicate;
7;959;961;964;1;predicate;
8;959;;966;2;outputCollection;
9;959;;962;2;outputCollection;
10;960;960;960;3;null;
11;960;960;966;3;null;
12;960;;960;3;null;
13;960;961;962;4;item;
14;960;961;964;4;item;
15;960;;962;4;item;

Block Duas for method; selectRejected;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;inputCollection;
;959;959;959;0;inputCollection;
2;0;0;1;0;inputCollection;
;959;959;966;0;inputCollection;
3;0;;3;0;inputCollection;
;959;;960;0;inputCollection;
4;0;2;3;1;predicate;
;959;959;960;1;predicate;
5;0;2;1;1;predicate;
;959;959;966;1;predicate;
6;0;5;7;1;predicate;
;959;961;962;1;predicate;
7;0;5;6;1;predicate;
;959;961;964;1;predicate;
8;0;;1;2;outputCollection;
;959;;966;2;outputCollection;
9;0;;7;2;outputCollection;
;959;;962;2;outputCollection;
10;5;5;7;3;item;
;960;961;962;4;item;
11;5;5;6;3;item;
;960;961;964;4;item;
12;5;;7;3;item;
;960;;962;4;item;
