Number of Variables;3;
Variables:;
0;;object;
1;;total;
2;;it;

Number of Block duas;34;
Line Duas for method; size;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;1496;1496;1497;0;object;
2;1496;1496;1499;0;object;
3;1496;1500;1501;0;object;
4;1496;1500;1502;0;object;
5;1496;1502;1503;0;object;
6;1496;1502;1504;0;object;
7;1496;1504;1505;0;object;
8;1496;1504;1506;0;object;
9;1496;1506;1507;0;object;
10;1496;1506;1508;0;object;
11;1496;1508;1509;0;object;
12;1496;1508;1510;0;object;
13;1496;1510;1511;0;object;
14;1496;1510;1518;0;object;
15;1496;;1518;0;object;
16;1496;;1511;0;object;
17;1496;;1509;0;object;
18;1496;;1507;0;object;
19;1496;;1505;0;object;
20;1496;;1503;0;object;
21;1496;;1501;0;object;
22;1499;;1523;1;total;
23;1499;;1513;1;total;
24;1501;;1523;1;total;
25;1503;;1523;1;total;
26;1505;;1523;1;total;
27;1507;;1523;1;total;
28;1509;;1523;1;total;
29;1511;1512;1513;2;it;
30;1511;1512;1516;2;it;
31;1511;;1514;2;it;
32;1513;;1523;1;total;
33;1513;;1513;1;total;
34;1518;;1523;1;total;

Block Duas for method; size;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;18;0;object;
;1496;1496;1497;0;object;
2;0;0;1;0;object;
;1496;1496;1499;0;object;
3;0;1;17;0;object;
;1496;1500;1501;0;object;
4;0;1;2;0;object;
;1496;1500;1502;0;object;
5;0;2;16;0;object;
;1496;1502;1503;0;object;
6;0;2;3;0;object;
;1496;1502;1504;0;object;
7;0;3;15;0;object;
;1496;1504;1505;0;object;
8;0;3;4;0;object;
;1496;1504;1506;0;object;
9;0;4;14;0;object;
;1496;1506;1507;0;object;
10;0;4;5;0;object;
;1496;1506;1508;0;object;
11;0;5;13;0;object;
;1496;1508;1509;0;object;
12;0;5;6;0;object;
;1496;1508;1510;0;object;
13;0;6;9;0;object;
;1496;1510;1511;0;object;
14;0;6;7;0;object;
;1496;1510;1518;0;object;
15;0;;7;0;object;
;1496;;1518;0;object;
16;0;;9;0;object;
;1496;;1511;0;object;
17;0;;13;0;object;
;1496;;1509;0;object;
18;0;;14;0;object;
;1496;;1507;0;object;
19;0;;15;0;object;
;1496;;1505;0;object;
20;0;;16;0;object;
;1496;;1503;0;object;
21;0;;17;0;object;
;1496;;1501;0;object;
22;1;;8;1;total;
;1499;;1523;1;total;
23;1;;12;1;total;
;1499;;1513;1;total;
24;17;;8;1;total;
;1501;;1523;1;total;
25;16;;8;1;total;
;1503;;1523;1;total;
26;15;;8;1;total;
;1505;;1523;1;total;
27;14;;8;1;total;
;1507;;1523;1;total;
28;13;;8;1;total;
;1509;;1523;1;total;
29;9;10;12;2;it;
;1511;1512;1513;2;it;
30;9;10;11;2;it;
;1511;1512;1516;2;it;
31;9;;12;2;it;
;1511;;1514;2;it;
32;12;;8;1;total;
;1513;;1523;1;total;
33;12;;12;1;total;
;1513;;1513;1;total;
34;7;;8;1;total;
;1518;;1523;1;total;
