Number of Variables;3;
Variables:;
0;;collection;
1;;transformer;
2;;it;

Number of Block duas;13;
Line Duas for method; transform;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;806;806;806;0;collection;
2;806;806;818;0;collection;
3;806;807;808;0;collection;
4;806;807;813;0;collection;
5;806;;813;0;collection;
6;806;;814;0;collection;
7;806;;815;0;collection;
8;806;;808;0;collection;
9;806;806;807;1;transformer;
10;806;806;818;1;transformer;
11;806;;813;1;transformer;
12;806;;810;1;transformer;
13;809;809;810;3;it;
14;809;809;812;3;it;
15;809;;810;3;it;

Block Duas for method; transform;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;collection;
;806;806;806;0;collection;
2;0;0;1;0;collection;
;806;806;818;0;collection;
3;0;3;5;0;collection;
;806;807;808;0;collection;
4;0;3;4;0;collection;
;806;807;813;0;collection;
5;0;;4;0;collection;
;806;;813;0;collection;
;806;;814;0;collection;
;806;;815;0;collection;
6;0;;5;0;collection;
;806;;808;0;collection;
7;0;2;3;1;transformer;
;806;806;807;1;transformer;
8;0;2;1;1;transformer;
;806;806;818;1;transformer;
9;0;;4;1;transformer;
;806;;813;1;transformer;
10;0;;8;1;transformer;
;806;;810;1;transformer;
11;5;6;8;2;it;
;809;809;810;3;it;
12;5;6;7;2;it;
;809;809;812;3;it;
13;5;;8;2;it;
;809;;810;3;it;
