Number of Variables;11;
Variables:;
0;;this;
1;;this.node;
2;;node1;
3;;node2;
4;;t1;
5;;t2;
6;;map;
7;;length;
8;;i;
9;;n;
10;;current;

Number of Block duas;58;
Line Duas for method; compareChildNodePointers;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;730;;759;0;this;
2;730;;745;0;this;
3;730;;759;11;this.node;
4;730;732;733;3;node1;
5;730;732;736;3;node1;
6;730;;736;3;node1;
7;730;761;762;3;node1;
8;730;761;764;3;node1;
9;730;749;750;3;node1;
10;730;749;752;3;node1;
11;731;732;733;4;node2;
12;731;732;736;4;node2;
13;731;;737;4;node2;
14;731;764;765;4;node2;
15;731;764;767;4;node2;
16;731;752;753;4;node2;
17;731;752;747;4;node2;
18;736;738;738;5;t1;
19;736;738;741;5;t1;
20;736;741;741;5;t1;
21;736;741;744;5;t1;
22;736;744;744;5;t1;
23;736;744;759;5;t1;
24;737;744;745;6;t2;
25;737;744;759;6;t2;
26;737;741;742;6;t2;
27;737;741;744;6;t2;
28;737;738;739;6;t2;
29;737;738;741;6;t2;
30;745;;748;7;map;
31;746;747;748;8;length;
32;746;747;756;8;length;
33;747;747;748;9;i;
34;747;747;756;9;i;
35;747;;748;9;i;
36;747;;747;9;i;
37;748;749;750;10;n;
38;748;749;752;10;n;
39;748;752;753;10;n;
40;748;752;747;10;n;
41;747;747;748;9;i;
42;747;747;756;9;i;
43;747;;748;9;i;
44;747;;747;9;i;
45;759;760;761;7;current;
46;759;760;770;7;current;
47;759;761;762;7;current;
48;759;761;764;7;current;
49;759;764;765;7;current;
50;759;764;767;7;current;
51;759;;767;7;current;
52;767;760;761;7;current;
53;767;760;770;7;current;
54;767;761;762;7;current;
55;767;761;764;7;current;
56;767;764;765;7;current;
57;767;764;767;7;current;
58;767;;767;7;current;

Block Duas for method; compareChildNodePointers;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;4;0;this;
;730;;759;0;this;
2;0;;13;0;this;
;730;;745;0;this;
3;0;;4;1;this.node;
;730;;759;11;this.node;
4;0;0;25;2;node1;
;730;732;733;3;node1;
5;0;0;1;2;node1;
;730;732;736;3;node1;
6;0;;1;2;node1;
;730;;736;3;node1;
7;0;7;11;2;node1;
;730;761;762;3;node1;
8;0;7;8;2;node1;
;730;761;764;3;node1;
9;0;16;20;2;node1;
;730;749;750;3;node1;
10;0;16;17;2;node1;
;730;749;752;3;node1;
11;0;0;25;3;node2;
;731;732;733;4;node2;
12;0;0;1;3;node2;
;731;732;736;4;node2;
13;0;;1;3;node2;
;731;;737;4;node2;
14;0;8;10;3;node2;
;731;764;765;4;node2;
15;0;8;9;3;node2;
;731;764;767;4;node2;
16;0;17;19;3;node2;
;731;752;753;4;node2;
17;0;17;18;3;node2;
;731;752;747;4;node2;
18;1;1;23;4;t1;
;736;738;738;5;t1;
19;1;1;2;4;t1;
;736;738;741;5;t1;
20;1;2;21;4;t1;
;736;741;741;5;t1;
21;1;2;3;4;t1;
;736;741;744;5;t1;
22;1;3;12;4;t1;
;736;744;744;5;t1;
23;1;3;4;4;t1;
;736;744;759;5;t1;
24;1;12;13;5;t2;
;737;744;745;6;t2;
25;1;12;4;5;t2;
;737;744;759;6;t2;
26;1;21;22;5;t2;
;737;741;742;6;t2;
27;1;21;3;5;t2;
;737;741;744;6;t2;
28;1;23;24;5;t2;
;737;738;739;6;t2;
29;1;23;2;5;t2;
;737;738;741;6;t2;
30;13;;16;6;map;
;745;;748;7;map;
31;13;14;16;7;length;
;746;747;748;8;length;
32;13;14;15;7;length;
;746;747;756;8;length;
33;13;14;16;8;i;
;747;747;748;9;i;
34;13;14;15;8;i;
;747;747;756;9;i;
35;13;;16;8;i;
;747;;748;9;i;
36;13;;18;8;i;
;747;;747;9;i;
37;16;16;20;9;n;
;748;749;750;10;n;
38;16;16;17;9;n;
;748;749;752;10;n;
39;16;17;19;9;n;
;748;752;753;10;n;
40;16;17;18;9;n;
;748;752;747;10;n;
41;18;14;16;8;i;
;747;747;748;9;i;
42;18;14;15;8;i;
;747;747;756;9;i;
43;18;;16;8;i;
;747;;748;9;i;
44;18;;18;8;i;
;747;;747;9;i;
45;4;5;7;10;current;
;759;760;761;7;current;
46;4;5;6;10;current;
;759;760;770;7;current;
47;4;7;11;10;current;
;759;761;762;7;current;
48;4;7;8;10;current;
;759;761;764;7;current;
49;4;8;10;10;current;
;759;764;765;7;current;
50;4;8;9;10;current;
;759;764;767;7;current;
51;4;;9;10;current;
;759;;767;7;current;
52;9;5;7;10;current;
;767;760;761;7;current;
53;9;5;6;10;current;
;767;760;770;7;current;
54;9;7;11;10;current;
;767;761;762;7;current;
55;9;7;8;10;current;
;767;761;764;7;current;
56;9;8;10;10;current;
;767;764;765;7;current;
57;9;8;9;10;current;
;767;764;767;7;current;
58;9;;9;10;current;
;767;;767;7;current;
