Number of Variables;5;
Variables:;
0;;this;
1;;this.defaultNamespace;
2;;this.node;
3;;aNode;
4;;attr;

Number of Block duas;50;
Line Duas for method; getDefaultNamespaceURI;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;243;243;244;0;this;
2;243;243;259;0;this;
3;243;259;260;0;this;
4;243;259;263;0;this;
5;243;263;263;0;this;
6;243;263;263;0;this;
7;243;;263;0;this;
8;243;;260;0;this;
9;243;;244;0;this;
10;243;;252;0;this;
11;243;243;244;1;this.defaultNamespace;
12;243;243;259;1;this.defaultNamespace;
13;243;259;260;1;this.defaultNamespace;
14;243;259;263;1;this.defaultNamespace;
15;243;263;263;1;this.defaultNamespace;
16;243;263;263;1;this.defaultNamespace;
17;243;;263;1;this.defaultNamespace;
18;243;;244;3;this.node;
19;244;245;246;2;aNode;
20;244;245;248;2;aNode;
21;244;248;249;2;aNode;
22;244;248;259;2;aNode;
23;244;249;250;2;aNode;
24;244;249;256;2;aNode;
25;244;;256;2;aNode;
26;244;;250;2;aNode;
27;244;;246;2;aNode;
28;246;248;249;2;aNode;
29;246;248;259;2;aNode;
30;246;249;250;2;aNode;
31;246;249;256;2;aNode;
32;246;;256;2;aNode;
33;246;;250;2;aNode;
34;250;251;252;4;attr;
35;250;251;256;4;attr;
36;250;;252;4;attr;
37;252;259;260;1;this.defaultNamespace;
38;252;259;263;1;this.defaultNamespace;
39;252;263;263;1;this.defaultNamespace;
40;252;263;263;1;this.defaultNamespace;
41;252;;263;1;this.defaultNamespace;
42;256;248;249;2;aNode;
43;256;248;259;2;aNode;
44;256;249;250;2;aNode;
45;256;249;256;2;aNode;
46;256;;256;2;aNode;
47;256;;250;2;aNode;
48;260;263;263;1;this.defaultNamespace;
49;260;263;263;1;this.defaultNamespace;
50;260;;263;1;this.defaultNamespace;

Block Duas for method; getDefaultNamespaceURI;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;7;0;this;
;243;243;244;0;this;
2;0;0;1;0;this;
;243;243;259;0;this;
3;0;1;6;0;this;
;243;259;260;0;this;
4;0;1;2;0;this;
;243;259;263;0;this;
5;0;2;5;0;this;
;243;263;263;0;this;
6;0;2;3;0;this;
;243;263;263;0;this;
7;0;;4;0;this;
;243;;263;0;this;
8;0;;6;0;this;
;243;;260;0;this;
9;0;;7;0;this;
;243;;244;0;this;
10;0;;12;0;this;
;243;;252;0;this;
11;0;0;7;1;this.defaultNamespace;
;243;243;244;1;this.defaultNamespace;
12;0;0;1;1;this.defaultNamespace;
;243;243;259;1;this.defaultNamespace;
13;0;1;6;1;this.defaultNamespace;
;243;259;260;1;this.defaultNamespace;
14;0;1;2;1;this.defaultNamespace;
;243;259;263;1;this.defaultNamespace;
15;0;2;5;1;this.defaultNamespace;
;243;263;263;1;this.defaultNamespace;
16;0;2;3;1;this.defaultNamespace;
;243;263;263;1;this.defaultNamespace;
17;0;;4;1;this.defaultNamespace;
;243;;263;1;this.defaultNamespace;
18;0;;7;2;this.node;
;243;;244;3;this.node;
19;7;7;13;3;aNode;
;244;245;246;2;aNode;
20;7;7;8;3;aNode;
;244;245;248;2;aNode;
21;7;8;9;3;aNode;
;244;248;249;2;aNode;
22;7;8;1;3;aNode;
;244;248;259;2;aNode;
23;7;9;11;3;aNode;
;244;249;250;2;aNode;
24;7;9;10;3;aNode;
;244;249;256;2;aNode;
25;7;;10;3;aNode;
;244;;256;2;aNode;
26;7;;11;3;aNode;
;244;;250;2;aNode;
27;7;;13;3;aNode;
;244;;246;2;aNode;
28;13;8;9;3;aNode;
;246;248;249;2;aNode;
29;13;8;1;3;aNode;
;246;248;259;2;aNode;
30;13;9;11;3;aNode;
;246;249;250;2;aNode;
31;13;9;10;3;aNode;
;246;249;256;2;aNode;
32;13;;10;3;aNode;
;246;;256;2;aNode;
33;13;;11;3;aNode;
;246;;250;2;aNode;
34;11;11;12;4;attr;
;250;251;252;4;attr;
35;11;11;10;4;attr;
;250;251;256;4;attr;
36;11;;12;4;attr;
;250;;252;4;attr;
37;12;1;6;1;this.defaultNamespace;
;252;259;260;1;this.defaultNamespace;
38;12;1;2;1;this.defaultNamespace;
;252;259;263;1;this.defaultNamespace;
39;12;2;5;1;this.defaultNamespace;
;252;263;263;1;this.defaultNamespace;
40;12;2;3;1;this.defaultNamespace;
;252;263;263;1;this.defaultNamespace;
41;12;;4;1;this.defaultNamespace;
;252;;263;1;this.defaultNamespace;
42;10;8;9;3;aNode;
;256;248;249;2;aNode;
43;10;8;1;3;aNode;
;256;248;259;2;aNode;
44;10;9;11;3;aNode;
;256;249;250;2;aNode;
45;10;9;10;3;aNode;
;256;249;256;2;aNode;
46;10;;10;3;aNode;
;256;;256;2;aNode;
47;10;;11;3;aNode;
;256;;250;2;aNode;
48;6;2;5;1;this.defaultNamespace;
;260;263;263;1;this.defaultNamespace;
49;6;2;3;1;this.defaultNamespace;
;260;263;263;1;this.defaultNamespace;
50;6;;4;1;this.defaultNamespace;
;260;;263;1;this.defaultNamespace;
