Number of Variables;5;
Variables:;
0;;this;
1;;this.node;
2;;ln;
3;;ns;
4;;type;

Number of Block duas;13;
Line Duas for method; getName;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;154;;162;0;this;
2;154;;158;0;this;
3;154;;159;0;this;
4;154;;162;4;this.node;
5;154;;158;4;this.node;
6;154;;159;4;this.node;
7;154;;164;1;ln;
8;155;;164;2;ns;
9;156;157;158;3;type;
10;156;157;161;3;type;
11;156;161;162;3;type;
12;156;161;164;3;type;
13;158;;164;2;ns;
14;159;;164;1;ln;
15;162;;164;1;ln;

Block Duas for method; getName;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;3;0;this;
;154;;162;0;this;
2;0;;4;0;this;
;154;;158;0;this;
;154;;159;0;this;
3;0;;3;1;this.node;
;154;;162;4;this.node;
4;0;;4;1;this.node;
;154;;158;4;this.node;
;154;;159;4;this.node;
5;0;;2;2;ln;
;154;;164;1;ln;
6;0;;2;3;ns;
;155;;164;2;ns;
7;0;0;4;4;type;
;156;157;158;3;type;
8;0;0;1;4;type;
;156;157;161;3;type;
9;0;1;3;4;type;
;156;161;162;3;type;
10;0;1;2;4;type;
;156;161;164;3;type;
11;4;;2;3;ns;
;158;;164;2;ns;
12;4;;2;2;ln;
;159;;164;1;ln;
13;3;;2;2;ln;
;162;;164;1;ln;
