Number of Variables;6;
Variables:;
0;;node;
1;;uri;
2;;prefix;
3;;qname;
4;;aNode;
5;;attr;

Number of Block duas;32;
Line Duas for method; getNamespaceURI;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;627;627;628;0;node;
2;627;627;631;0;node;
3;627;;631;0;node;
4;627;;639;0;node;
5;627;;647;0;node;
6;627;;628;0;node;
7;628;;631;0;node;
8;628;;639;0;node;
9;628;;647;0;node;
10;633;634;635;2;uri;
11;633;634;639;2;uri;
12;633;;635;2;uri;
13;639;640;641;3;prefix;
14;639;640;644;3;prefix;
15;639;;644;3;prefix;
16;641;;650;4;qname;
17;644;;650;4;qname;
18;647;648;649;5;aNode;
19;647;648;657;5;aNode;
20;647;649;650;5;aNode;
21;647;649;655;5;aNode;
22;647;;655;5;aNode;
23;647;;650;5;aNode;
24;650;651;652;6;attr;
25;650;651;655;6;attr;
26;650;;652;6;attr;
27;655;648;649;5;aNode;
28;655;648;657;5;aNode;
29;655;649;650;5;aNode;
30;655;649;655;5;aNode;
31;655;;655;5;aNode;
32;655;;650;5;aNode;

Block Duas for method; getNamespaceURI;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;13;0;node;
;627;627;628;0;node;
2;0;0;1;0;node;
;627;627;631;0;node;
3;0;;1;0;node;
;627;;631;0;node;
4;0;;2;0;node;
;627;;639;0;node;
5;0;;4;0;node;
;627;;647;0;node;
6;0;;13;0;node;
;627;;628;0;node;
7;13;;1;0;node;
;628;;631;0;node;
8;13;;2;0;node;
;628;;639;0;node;
9;13;;4;0;node;
;628;;647;0;node;
10;1;1;12;1;uri;
;633;634;635;2;uri;
11;1;1;2;1;uri;
;633;634;639;2;uri;
12;1;;12;1;uri;
;633;;635;2;uri;
13;2;2;11;2;prefix;
;639;640;641;3;prefix;
14;2;2;3;2;prefix;
;639;640;644;3;prefix;
15;2;;3;2;prefix;
;639;;644;3;prefix;
16;11;;9;3;qname;
;641;;650;4;qname;
17;3;;9;3;qname;
;644;;650;4;qname;
18;4;5;7;4;aNode;
;647;648;649;5;aNode;
19;4;5;6;4;aNode;
;647;648;657;5;aNode;
20;4;7;9;4;aNode;
;647;649;650;5;aNode;
21;4;7;8;4;aNode;
;647;649;655;5;aNode;
22;4;;8;4;aNode;
;647;;655;5;aNode;
23;4;;9;4;aNode;
;647;;650;5;aNode;
24;9;9;10;5;attr;
;650;651;652;6;attr;
25;9;9;8;5;attr;
;650;651;655;6;attr;
26;9;;10;5;attr;
;650;;652;6;attr;
27;8;5;7;4;aNode;
;655;648;649;5;aNode;
28;8;5;6;4;aNode;
;655;648;657;5;aNode;
29;8;7;9;4;aNode;
;655;649;650;5;aNode;
30;8;7;8;4;aNode;
;655;649;655;5;aNode;
31;8;;8;4;aNode;
;655;;655;5;aNode;
32;8;;9;4;aNode;
;655;;650;5;aNode;
