Number of Variables;5;
Variables:;
0;;this;
1;;id;
2;;this.node;
3;;document;
4;;element;

Number of Block duas;18;
Line Duas for method; getPointerByID;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;701;701;702;0;this;
2;701;701;705;0;this;
3;701;;705;0;this;
4;701;;712;0;this;
5;701;;709;0;this;
6;701;;702;0;this;
7;701;;707;2;id;
8;701;;712;2;id;
9;701;;709;2;id;
10;701;701;702;3;this.node;
11;701;701;705;3;this.node;
12;701;;705;3;this.node;
13;701;;702;3;this.node;
14;702;;707;4;document;
15;705;;707;4;document;
16;707;708;709;5;element;
17;707;708;712;5;element;
18;707;;709;5;element;

Block Duas for method; getPointerByID;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;5;0;this;
;701;701;702;0;this;
2;0;0;1;0;this;
;701;701;705;0;this;
3;0;;1;0;this;
;701;;705;0;this;
4;0;;3;0;this;
;701;;712;0;this;
5;0;;4;0;this;
;701;;709;0;this;
6;0;;5;0;this;
;701;;702;0;this;
7;0;;2;1;id;
;701;;707;2;id;
8;0;;3;1;id;
;701;;712;2;id;
9;0;;4;1;id;
;701;;709;2;id;
10;0;0;5;2;this.node;
;701;701;702;3;this.node;
11;0;0;1;2;this.node;
;701;701;705;3;this.node;
12;0;;1;2;this.node;
;701;;705;3;this.node;
13;0;;5;2;this.node;
;701;;702;3;this.node;
14;5;;2;3;document;
;702;;707;4;document;
15;1;;2;3;document;
;705;;707;4;document;
16;2;2;4;4;element;
;707;708;709;5;element;
17;2;2;3;4;element;
;707;708;712;5;element;
18;2;;4;4;element;
;707;;709;5;element;
