Number of Variables;5;
Variables:;
0;;this;
1;;this.node;
2;;count;
3;;n;
4;;nm;

Number of Block duas;22;
Line Duas for method; getRelativePositionByName;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;527;532;533;0;this;
2;527;532;536;0;this;
3;527;532;533;3;this.node;
4;527;532;536;3;this.node;
5;527;;538;1;count;
6;527;;533;1;count;
7;528;529;530;2;n;
8;528;529;538;2;n;
9;528;530;531;2;n;
10;528;530;536;2;n;
11;528;;536;2;n;
12;528;;531;2;n;
13;531;532;533;4;nm;
14;531;532;536;4;nm;
15;533;;538;1;count;
16;533;;533;1;count;
17;536;529;530;2;n;
18;536;529;538;2;n;
19;536;530;531;2;n;
20;536;530;536;2;n;
21;536;;536;2;n;
22;536;;531;2;n;

Block Duas for method; getRelativePositionByName;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;5;6;0;this;
;527;532;533;0;this;
2;0;5;4;0;this;
;527;532;536;0;this;
3;0;5;6;1;this.node;
;527;532;533;3;this.node;
4;0;5;4;1;this.node;
;527;532;536;3;this.node;
5;0;;2;2;count;
;527;;538;1;count;
6;0;;6;2;count;
;527;;533;1;count;
7;0;1;3;3;n;
;528;529;530;2;n;
8;0;1;2;3;n;
;528;529;538;2;n;
9;0;3;5;3;n;
;528;530;531;2;n;
10;0;3;4;3;n;
;528;530;536;2;n;
11;0;;4;3;n;
;528;;536;2;n;
12;0;;5;3;n;
;528;;531;2;n;
13;5;5;6;4;nm;
;531;532;533;4;nm;
14;5;5;4;4;nm;
;531;532;536;4;nm;
15;6;;2;2;count;
;533;;538;1;count;
16;6;;6;2;count;
;533;;533;1;count;
17;4;1;3;3;n;
;536;529;530;2;n;
18;4;1;2;3;n;
;536;529;538;2;n;
19;4;3;5;3;n;
;536;530;531;2;n;
20;4;3;4;3;n;
;536;530;536;2;n;
21;4;;4;3;n;
;536;;536;2;n;
22;4;;5;3;n;
;536;;531;2;n;
