Number of Variables;10;
Variables:;
0;;this;
1;;node;
2;;nodeType;
3;;text;
4;;text;
5;;text;
6;;list;
7;;buf;
8;;i;
9;;child;

Number of Block duas;40;
Line Duas for method; stringValue;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;665;;689;0;this;
2;665;;673;1;node;
3;665;;681;1;node;
4;665;;677;1;node;
5;665;;667;1;node;
6;665;666;667;2;nodeType;
7;665;666;670;2;nodeType;
8;665;670;670;2;nodeType;
9;665;670;673;2;nodeType;
10;665;670;673;2;nodeType;
11;665;670;676;2;nodeType;
12;665;676;677;2;nodeType;
13;665;676;681;2;nodeType;
14;667;668;668;3;text;
15;667;668;668;3;text;
16;667;;668;3;text;
17;673;674;674;3;text;
18;673;674;674;3;text;
19;673;;674;3;text;
20;677;678;678;3;text;
21;677;678;678;3;text;
22;677;;678;3;text;
23;681;683;684;3;list;
24;681;683;692;3;list;
25;681;;684;3;list;
26;682;;692;4;buf;
27;682;;689;4;buf;
28;682;;686;4;buf;
29;683;683;684;5;i;
30;683;683;692;5;i;
31;683;;684;5;i;
32;683;;683;5;i;
33;684;685;686;6;child;
34;684;685;689;6;child;
35;684;;689;6;child;
36;684;;686;6;child;
37;683;683;684;5;i;
38;683;683;692;5;i;
39;683;;684;5;i;
40;683;;683;5;i;

Block Duas for method; stringValue;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;12;0;this;
;665;;689;0;this;
2;0;;2;1;node;
;665;;673;1;node;
3;0;;8;1;node;
;665;;681;1;node;
4;0;;15;1;node;
;665;;677;1;node;
5;0;;19;1;node;
;665;;667;1;node;
6;0;0;19;2;nodeType;
;665;666;667;2;nodeType;
7;0;0;1;2;nodeType;
;665;666;670;2;nodeType;
8;0;1;6;2;nodeType;
;665;670;670;2;nodeType;
9;0;1;2;2;nodeType;
;665;670;673;2;nodeType;
10;0;6;2;2;nodeType;
;665;670;673;2;nodeType;
11;0;6;7;2;nodeType;
;665;670;676;2;nodeType;
12;0;7;15;2;nodeType;
;665;676;677;2;nodeType;
13;0;7;8;2;nodeType;
;665;676;681;2;nodeType;
14;19;19;22;3;text;
;667;668;668;3;text;
15;19;19;20;3;text;
;667;668;668;3;text;
16;19;;21;3;text;
;667;;668;3;text;
17;2;2;5;4;text;
;673;674;674;3;text;
18;2;2;3;4;text;
;673;674;674;3;text;
19;2;;4;4;text;
;673;;674;3;text;
20;15;15;18;5;text;
;677;678;678;3;text;
21;15;15;16;5;text;
;677;678;678;3;text;
22;15;;17;5;text;
;677;;678;3;text;
23;8;9;11;6;list;
;681;683;684;3;list;
24;8;9;10;6;list;
;681;683;692;3;list;
25;8;;11;6;list;
;681;;684;3;list;
26;8;;10;7;buf;
;682;;692;4;buf;
27;8;;12;7;buf;
;682;;689;4;buf;
28;8;;14;7;buf;
;682;;686;4;buf;
29;8;9;11;8;i;
;683;683;684;5;i;
30;8;9;10;8;i;
;683;683;692;5;i;
31;8;;11;8;i;
;683;;684;5;i;
32;8;;13;8;i;
;683;;683;5;i;
33;11;11;14;9;child;
;684;685;686;6;child;
34;11;11;12;9;child;
;684;685;689;6;child;
35;11;;12;9;child;
;684;;689;6;child;
36;11;;14;9;child;
;684;;686;6;child;
37;13;9;11;8;i;
;683;683;684;5;i;
38;13;9;10;8;i;
;683;683;692;5;i;
39;13;;11;8;i;
;683;;684;5;i;
40;13;;13;8;i;
;683;;683;5;i;
