Number of Variables;12;
Variables:;
0;;this;
1;;b;
2;;off;
3;;len;
4;;this.finalBlock;
5;;this.state;
6;;INITIAL;
7;;FIXED_CODES;
8;;FIXED_LITERALS;
9;;FIXED_DISTANCE;
10;;DYNAMIC_CODES;
11;;mode;

Number of Block duas;34;
Line Duas for method; decode;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;133;133;133;0;this;
2;133;133;134;0;this;
3;133;134;135;0;this;
4;133;134;152;0;this;
5;133;;152;0;this;
6;133;135;135;0;this;
7;133;135;135;0;this;
8;133;;135;0;this;
9;133;;136;0;this;
10;133;;145;0;this;
11;133;;146;0;this;
12;133;;146;0;this;
13;133;;142;0;this;
14;133;;142;0;this;
15;133;;139;0;this;
16;133;133;134;0;this;
17;133;133;155;0;this;
18;133;;152;1;b;
19;133;;152;2;off;
20;133;;152;3;len;
21;133;133;133;4;this.finalBlock;
22;133;133;134;4;this.finalBlock;
23;133;134;135;5;this.state;
24;133;134;152;5;this.state;
25;133;;152;5;this.state;
26;133;133;134;5;this.state;
27;133;133;155;5;this.state;
28;133;134;135;6;INITIAL;
29;133;134;152;6;INITIAL;
30;133;;142;8;FIXED_CODES;
31;133;;142;9;FIXED_LITERALS;
32;133;;142;10;FIXED_DISTANCE;
33;133;;146;12;DYNAMIC_CODES;
34;136;137;149;7;mode;
35;136;137;139;7;mode;
36;136;137;142;7;mode;
37;136;137;145;7;mode;
38;136;;149;7;mode;

Block Duas for method; decode;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;12;0;this;
;133;133;133;0;this;
2;0;0;1;0;this;
;133;133;134;0;this;
3;0;1;3;0;this;
;133;134;135;0;this;
4;0;1;2;0;this;
;133;134;152;0;this;
5;0;;2;0;this;
;133;;152;0;this;
6;0;3;11;0;this;
;133;135;135;0;this;
7;0;3;4;0;this;
;133;135;135;0;this;
8;0;;5;0;this;
;133;;135;0;this;
;133;;136;0;this;
9;0;;6;0;this;
;133;;145;0;this;
;133;;146;0;this;
;133;;146;0;this;
10;0;;8;0;this;
;133;;142;0;this;
;133;;142;0;this;
11;0;;9;0;this;
;133;;139;0;this;
12;0;12;1;0;this;
;133;133;134;0;this;
13;0;12;13;0;this;
;133;133;155;0;this;
14;0;;2;1;b;
;133;;152;1;b;
15;0;;2;2;off;
;133;;152;2;off;
16;0;;2;3;len;
;133;;152;3;len;
17;0;0;12;4;this.finalBlock;
;133;133;133;4;this.finalBlock;
18;0;0;1;4;this.finalBlock;
;133;133;134;4;this.finalBlock;
19;0;1;3;5;this.state;
;133;134;135;5;this.state;
20;0;1;2;5;this.state;
;133;134;152;5;this.state;
21;0;;2;5;this.state;
;133;;152;5;this.state;
22;0;12;1;5;this.state;
;133;133;134;5;this.state;
23;0;12;13;5;this.state;
;133;133;155;5;this.state;
24;0;1;3;6;INITIAL;
;133;134;135;6;INITIAL;
25;0;1;2;6;INITIAL;
;133;134;152;6;INITIAL;
26;0;;8;7;FIXED_CODES;
;133;;142;8;FIXED_CODES;
27;0;;8;8;FIXED_LITERALS;
;133;;142;9;FIXED_LITERALS;
28;0;;8;9;FIXED_DISTANCE;
;133;;142;10;FIXED_DISTANCE;
29;0;;6;10;DYNAMIC_CODES;
;133;;146;12;DYNAMIC_CODES;
30;5;5;10;11;mode;
;136;137;149;7;mode;
31;5;5;9;11;mode;
;136;137;139;7;mode;
32;5;5;8;11;mode;
;136;137;142;7;mode;
33;5;5;6;11;mode;
;136;137;145;7;mode;
34;5;;10;11;mode;
;136;;149;7;mode;
