Number of Variables;5;
Variables:;
0;;max;
1;;blCount;
2;;code;
3;;nextCode;
4;;i;

Number of Block duas;21;
Line Duas for method; getCodes;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;462;;469;1;max;
2;462;;472;1;max;
3;462;473;474;1;max;
4;462;473;478;1;max;
5;462;;466;1;max;
6;463;;469;2;blCount;
7;463;;467;2;blCount;
8;465;;465;3;null;
9;465;465;465;4;null;
10;465;465;469;4;null;
11;465;465;465;5;null;
12;465;465;469;5;null;
13;465;;465;5;null;
14;465;;465;5;null;
15;466;;469;1;max;
16;466;;472;1;max;
17;466;473;474;1;max;
18;466;473;478;1;max;
19;466;;466;1;max;
20;465;465;465;5;null;
21;465;465;469;5;null;
22;465;;465;5;null;
23;465;;465;5;null;
24;469;;474;2;blCount;
25;471;;474;3;code;
26;472;;478;4;nextCode;
27;472;;475;4;nextCode;
28;473;473;474;5;i;
29;473;473;478;5;i;
30;473;;474;5;i;
31;473;;475;5;i;
32;473;;473;5;i;
33;474;;474;3;code;
34;473;473;474;5;i;
35;473;473;478;5;i;
36;473;;474;5;i;
37;473;;475;5;i;
38;473;;473;5;i;

Block Duas for method; getCodes;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;2;0;max;
;462;;469;1;max;
;462;;472;1;max;
2;0;3;5;0;max;
;462;473;474;1;max;
3;0;3;4;0;max;
;462;473;478;1;max;
4;0;;6;0;max;
;462;;466;1;max;
5;0;;2;1;blCount;
;463;;469;2;blCount;
6;0;;6;1;blCount;
;463;;467;2;blCount;
7;6;;2;0;max;
;466;;469;1;max;
;466;;472;1;max;
8;6;3;5;0;max;
;466;473;474;1;max;
9;6;3;4;0;max;
;466;473;478;1;max;
10;6;;6;0;max;
;466;;466;1;max;
11;2;;5;1;blCount;
;469;;474;2;blCount;
12;2;;5;2;code;
;471;;474;3;code;
13;2;;4;3;nextCode;
;472;;478;4;nextCode;
14;2;;5;3;nextCode;
;472;;475;4;nextCode;
15;2;3;5;4;i;
;473;473;474;5;i;
16;2;3;4;4;i;
;473;473;478;5;i;
17;2;;5;4;i;
;473;;474;5;i;
;473;;475;5;i;
;473;;473;5;i;
18;5;;5;2;code;
;474;;474;3;code;
19;5;3;5;4;i;
;473;473;474;5;i;
20;5;3;4;4;i;
;473;473;478;5;i;
21;5;;5;4;i;
;473;;474;5;i;
;473;;475;5;i;
;473;;473;5;i;
