Number of Variables;6;
Variables:;
0;;reader;
1;;node;
2;;node.literal;
3;;bit;
4;;node.rightNode;
5;;node.leftNode;

Number of Block duas;27;
Line Duas for method; nextSymbol;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;361;;363;0;reader;
2;361;362;362;2;node;
3;361;362;366;2;node;
4;361;366;366;2;node;
5;361;366;366;2;node;
6;361;;366;2;node;
7;361;362;363;2;node;
8;361;362;366;2;node;
9;361;;364;2;node;
10;361;;366;3;node.literal;
11;361;362;363;3;node.literal;
12;361;362;366;3;node.literal;
13;363;364;364;4;bit;
14;363;364;364;4;bit;
15;364;362;362;2;node;
16;364;362;366;2;node;
17;364;366;366;2;node;
18;364;366;366;2;node;
19;364;;366;2;node;
20;364;362;363;2;node;
21;364;362;366;2;node;
22;364;;364;2;node;
23;364;;366;3;node.literal;
24;364;362;363;3;node.literal;
25;364;362;366;3;node.literal;
26;364;;364;5;node.rightNode;
27;364;;364;6;node.leftNode;

Block Duas for method; nextSymbol;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;7;0;reader;
;361;;363;0;reader;
2;0;1;6;1;node;
;361;362;362;2;node;
3;0;1;2;1;node;
;361;362;366;2;node;
4;0;2;5;1;node;
;361;366;366;2;node;
5;0;2;3;1;node;
;361;366;366;2;node;
6;0;;4;1;node;
;361;;366;2;node;
7;0;6;7;1;node;
;361;362;363;2;node;
8;0;6;2;1;node;
;361;362;366;2;node;
9;0;;9;1;node;
;361;;364;2;node;
10;0;;4;2;node.literal;
;361;;366;3;node.literal;
11;0;6;7;2;node.literal;
;361;362;363;3;node.literal;
12;0;6;2;2;node.literal;
;361;362;366;3;node.literal;
13;7;7;10;3;bit;
;363;364;364;4;bit;
14;7;7;8;3;bit;
;363;364;364;4;bit;
15;9;1;6;1;node;
;364;362;362;2;node;
16;9;1;2;1;node;
;364;362;366;2;node;
17;9;2;5;1;node;
;364;366;366;2;node;
18;9;2;3;1;node;
;364;366;366;2;node;
19;9;;4;1;node;
;364;;366;2;node;
20;9;6;7;1;node;
;364;362;363;2;node;
21;9;6;2;1;node;
;364;362;366;2;node;
22;9;;9;1;node;
;364;;364;2;node;
23;9;;4;2;node.literal;
;364;;366;3;node.literal;
24;9;6;7;2;node.literal;
;364;362;363;3;node.literal;
25;9;6;2;2;node.literal;
;364;362;366;3;node.literal;
26;9;;9;4;node.rightNode;
;364;;364;5;node.rightNode;
27;9;;9;5;node.leftNode;
;364;;364;6;node.leftNode;
