Number of Variables;2;
Variables:;
0;;n;
1;;out;

Number of Block duas;29;
Line Duas for method; calculaIR;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;20;21;21;1;n;
2;20;21;26;1;n;
3;20;26;26;1;n;
4;20;26;31;1;n;
5;20;31;31;1;n;
6;20;31;36;1;n;
7;20;36;36;1;n;
8;20;36;41;1;n;
9;20;41;42;1;n;
10;20;41;46;1;n;
11;20;;42;1;n;
12;20;36;37;1;n;
13;20;36;41;1;n;
14;20;;37;1;n;
15;20;31;32;1;n;
16;20;31;36;1;n;
17;20;;32;1;n;
18;20;26;27;1;n;
19;20;26;31;1;n;
20;20;;27;1;n;
21;20;21;22;1;n;
22;20;21;26;1;n;
23;20;;22;1;n;
24;20;;47;3;out;
25;20;;43;3;out;
26;20;;38;3;out;
27;20;;33;3;out;
28;20;;28;3;out;
29;20;;23;3;out;

Block Duas for method; calculaIR;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;13;0;n;
;20;21;21;1;n;
2;0;0;1;0;n;
;20;21;26;1;n;
3;0;1;11;0;n;
;20;26;26;1;n;
4;0;1;2;0;n;
;20;26;31;1;n;
5;0;2;9;0;n;
;20;31;31;1;n;
6;0;2;3;0;n;
;20;31;36;1;n;
7;0;3;7;0;n;
;20;36;36;1;n;
8;0;3;4;0;n;
;20;36;41;1;n;
9;0;4;6;0;n;
;20;41;42;1;n;
10;0;4;5;0;n;
;20;41;46;1;n;
11;0;;6;0;n;
;20;;42;1;n;
12;0;7;8;0;n;
;20;36;37;1;n;
13;0;7;4;0;n;
;20;36;41;1;n;
14;0;;8;0;n;
;20;;37;1;n;
15;0;9;10;0;n;
;20;31;32;1;n;
16;0;9;3;0;n;
;20;31;36;1;n;
17;0;;10;0;n;
;20;;32;1;n;
18;0;11;12;0;n;
;20;26;27;1;n;
19;0;11;2;0;n;
;20;26;31;1;n;
20;0;;12;0;n;
;20;;27;1;n;
21;0;13;14;0;n;
;20;21;22;1;n;
22;0;13;1;0;n;
;20;21;26;1;n;
23;0;;14;0;n;
;20;;22;1;n;
24;0;;5;1;out;
;20;;47;3;out;
25;0;;6;1;out;
;20;;43;3;out;
26;0;;8;1;out;
;20;;38;3;out;
27;0;;10;1;out;
;20;;33;3;out;
28;0;;12;1;out;
;20;;28;3;out;
29;0;;14;1;out;
;20;;23;3;out;
