Number of Variables;8;
Variables:;
0;;this;
1;;this.id;
2;;this.parent;
3;;this.node;
4;;buffer;
5;;nsURI;
6;;ln;
7;;prefix;

Number of Block duas;63;
Line Duas for method; asPath;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;565;565;566;0;this;
2;565;565;569;0;this;
3;565;570;571;0;this;
4;565;570;573;0;this;
5;565;573;577;0;this;
6;565;573;611;0;this;
7;565;611;611;0;this;
8;565;611;612;0;this;
9;565;;613;0;this;
10;565;611;612;0;this;
11;565;611;616;0;this;
12;565;616;617;0;this;
13;565;616;623;0;this;
14;565;;617;0;this;
15;565;;620;0;this;
16;565;577;578;0;this;
17;565;577;623;0;this;
18;565;;582;0;this;
19;565;;583;0;this;
20;565;585;587;0;this;
21;565;585;592;0;this;
22;565;;592;0;this;
23;565;;604;0;this;
24;565;;598;0;this;
25;565;;589;0;this;
26;565;;571;0;this;
27;565;;566;0;this;
28;565;565;566;1;this.id;
29;565;565;569;1;this.id;
30;565;;566;1;this.id;
31;565;570;571;3;this.parent;
32;565;570;573;3;this.parent;
33;565;577;578;3;this.parent;
34;565;577;623;3;this.parent;
35;565;;571;3;this.parent;
36;565;573;577;4;this.node;
37;565;573;611;4;this.node;
38;565;611;611;4;this.node;
39;565;611;612;4;this.node;
40;565;611;612;4;this.node;
41;565;611;616;4;this.node;
42;565;616;617;4;this.node;
43;565;616;623;4;this.node;
44;565;;617;4;this.node;
45;565;;583;4;this.node;
46;569;;612;2;buffer;
47;569;;613;2;buffer;
48;569;;623;2;buffer;
49;569;;618;2;buffer;
50;569;;620;2;buffer;
51;569;578;578;2;buffer;
52;569;578;580;2;buffer;
53;569;;580;2;buffer;
54;569;;602;2;buffer;
55;569;;603;2;buffer;
56;569;;604;2;buffer;
57;569;;605;2;buffer;
58;569;;594;2;buffer;
59;569;;595;2;buffer;
60;569;;596;2;buffer;
61;569;;597;2;buffer;
62;569;;598;2;buffer;
63;569;;599;2;buffer;
64;569;;587;2;buffer;
65;569;;588;2;buffer;
66;569;;589;2;buffer;
67;569;578;580;2;buffer;
68;569;578;582;2;buffer;
69;569;;571;2;buffer;
70;582;585;587;5;nsURI;
71;582;585;592;5;nsURI;
72;582;;592;5;nsURI;
73;583;;596;6;ln;
74;583;;587;6;ln;
75;592;593;594;7;prefix;
76;592;593;602;7;prefix;
77;592;;594;7;prefix;

Block Duas for method; asPath;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;20;0;this;
;565;565;566;0;this;
2;0;0;1;0;this;
;565;565;569;0;this;
3;0;1;19;0;this;
;565;570;571;0;this;
4;0;1;2;0;this;
;565;570;573;0;this;
5;0;2;9;0;this;
;565;573;577;0;this;
6;0;2;3;0;this;
;565;573;611;0;this;
7;0;3;6;0;this;
;565;611;611;0;this;
8;0;3;4;0;this;
;565;611;612;0;this;
9;0;;4;0;this;
;565;;613;0;this;
10;0;6;4;0;this;
;565;611;612;0;this;
11;0;6;7;0;this;
;565;611;616;0;this;
12;0;7;8;0;this;
;565;616;617;0;this;
13;0;7;5;0;this;
;565;616;623;0;this;
14;0;;8;0;this;
;565;;617;0;this;
;565;;620;0;this;
15;0;9;10;0;this;
;565;577;578;0;this;
