Number of Variables;2;
Variables:;
0;;s1;
1;;s2;

Number of Block duas;14;
Line Duas for method; equalStrings;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;398;398;398;0;s1;
2;398;398;401;0;s1;
3;398;401;401;0;s1;
4;398;401;405;0;s1;
5;398;405;405;0;s1;
6;398;405;409;0;s1;
7;398;405;406;0;s1;
8;398;405;409;0;s1;
9;398;405;406;1;s2;
10;398;405;409;1;s2;
11;398;401;402;1;s2;
12;398;401;405;1;s2;
13;398;398;399;1;s2;
14;398;398;401;1;s2;

Block Duas for method; equalStrings;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;8;0;s1;
;398;398;398;0;s1;
2;0;0;1;0;s1;
;398;398;401;0;s1;
3;0;1;6;0;s1;
;398;401;401;0;s1;
4;0;1;2;0;s1;
;398;401;405;0;s1;
5;0;2;4;0;s1;
;398;405;405;0;s1;
6;0;2;3;0;s1;
;398;405;409;0;s1;
7;0;4;5;0;s1;
;398;405;406;0;s1;
8;0;4;3;0;s1;
;398;405;409;0;s1;
9;0;4;5;1;s2;
;398;405;406;1;s2;
10;0;4;3;1;s2;
;398;405;409;1;s2;
11;0;6;7;1;s2;
;398;401;402;1;s2;
12;0;6;2;1;s2;
;398;401;405;1;s2;
13;0;8;9;1;s2;
;398;398;399;1;s2;
14;0;8;1;1;s2;
;398;398;401;1;s2;
