Number of Variables;1;
Variables:;
0;;node;

Number of Block duas;6;
Line Duas for method; getLocalName;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;425;425;426;0;node;
2;425;425;428;0;node;
3;425;428;429;0;node;
4;425;428;431;0;node;
5;425;;429;0;node;
6;425;;426;0;node;

Block Duas for method; getLocalName;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;4;0;node;
;425;425;426;0;node;
2;0;0;1;0;node;
;425;425;428;0;node;
3;0;1;3;0;node;
;425;428;429;0;node;
4;0;1;2;0;node;
;425;428;431;0;node;
5;0;;3;0;node;
;425;;429;0;node;
6;0;;4;0;node;
;425;;426;0;node;
