Number of Variables;3;
Variables:;
0;;node;
1;;prefix;
2;;prefix;

Number of Block duas;16;
Line Duas for method; getPrefix;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;413;413;414;0;node;
2;413;413;417;0;node;
3;413;417;418;0;node;
4;413;417;421;0;node;
5;413;;418;0;node;
6;413;;414;0;node;
7;414;415;415;1;prefix;
8;414;415;415;1;prefix;
9;414;;415;1;prefix;
10;414;415;415;1;prefix;
11;414;415;415;1;prefix;
12;418;419;419;1;prefix;
13;418;419;419;1;prefix;
14;418;;419;1;prefix;
15;418;419;419;1;prefix;
16;418;419;419;1;prefix;

Block Duas for method; getPrefix;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;8;0;node;
;413;413;414;0;node;
2;0;0;1;0;node;
;413;413;417;0;node;
3;0;1;3;0;node;
;413;417;418;0;node;
4;0;1;2;0;node;
;413;417;421;0;node;
5;0;;3;0;node;
;413;;418;0;node;
6;0;;8;0;node;
;413;;414;0;node;
7;8;8;11;1;prefix;
;414;415;415;1;prefix;
8;8;8;9;1;prefix;
;414;415;415;1;prefix;
9;8;;10;1;prefix;
;414;;415;1;prefix;
10;8;11;9;1;prefix;
;414;415;415;1;prefix;
11;8;11;12;1;prefix;
;414;415;415;1;prefix;
12;3;3;6;2;prefix;
;418;419;419;1;prefix;
13;3;3;4;2;prefix;
;418;419;419;1;prefix;
14;3;;5;2;prefix;
;418;;419;1;prefix;
15;3;6;4;2;prefix;
;418;419;419;1;prefix;
16;3;6;7;2;prefix;
;418;419;419;1;prefix;
