Number of Variables;7;
Variables:;
0;;this;
1;;this.node;
2;;parent;
3;;children;
4;;count;
5;;i;
6;;child;

Number of Block duas;32;
Line Duas for method; getRelativePositionOfElement;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;672;689;690;0;this;
2;672;689;684;0;this;
3;672;689;690;2;this.node;
4;672;689;684;2;this.node;
5;672;673;674;1;parent;
6;672;673;677;1;parent;
7;672;677;678;1;parent;
8;672;677;681;1;parent;
9;672;;681;1;parent;
10;672;;678;1;parent;
11;678;684;685;3;children;
12;678;684;693;3;children;
13;678;;685;3;children;
14;681;684;685;3;children;
15;681;684;693;3;children;
16;681;;685;3;children;
17;683;;693;4;count;
18;683;;687;4;count;
19;684;684;685;5;i;
20;684;684;693;5;i;
21;684;;685;5;i;
22;684;;684;5;i;
23;685;686;687;6;child;
24;685;686;689;6;child;
25;685;689;690;6;child;
26;685;689;684;6;child;
27;687;;693;4;count;
28;687;;687;4;count;
29;684;684;685;5;i;
30;684;684;693;5;i;
31;684;;685;5;i;
32;684;;684;5;i;

Block Duas for method; getRelativePositionOfElement;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;7;9;0;this;
;672;689;690;0;this;
2;0;7;8;0;this;
;672;689;684;0;this;
3;0;7;9;1;this.node;
;672;689;690;2;this.node;
4;0;7;8;1;this.node;
;672;689;684;2;this.node;
5;0;0;12;2;parent;
;672;673;674;1;parent;
6;0;0;1;2;parent;
;672;673;677;1;parent;
7;0;1;11;2;parent;
;672;677;678;1;parent;
8;0;1;2;2;parent;
;672;677;681;1;parent;
9;0;;2;2;parent;
;672;;681;1;parent;
10;0;;11;2;parent;
;672;;678;1;parent;
11;11;4;6;3;children;
;678;684;685;3;children;
12;11;4;5;3;children;
;678;684;693;3;children;
13;11;;6;3;children;
;678;;685;3;children;
14;2;4;6;3;children;
;681;684;685;3;children;
15;2;4;5;3;children;
;681;684;693;3;children;
16;2;;6;3;children;
;681;;685;3;children;
17;3;;5;4;count;
;683;;693;4;count;
18;3;;10;4;count;
;683;;687;4;count;
19;3;4;6;5;i;
;684;684;685;5;i;
20;3;4;5;5;i;
;684;684;693;5;i;
21;3;;6;5;i;
;684;;685;5;i;
22;3;;8;5;i;
;684;;684;5;i;
23;6;6;10;6;child;
;685;686;687;6;child;
24;6;6;7;6;child;
;685;686;689;6;child;
25;6;7;9;6;child;
;685;689;690;6;child;
26;6;7;8;6;child;
;685;689;684;6;child;
27;10;;5;4;count;
;687;;693;4;count;
28;10;;10;4;count;
;687;;687;4;count;
29;8;4;6;5;i;
;684;684;685;5;i;
30;8;4;5;5;i;
;684;684;693;5;i;
31;8;;6;5;i;
;684;;685;5;i;
32;8;;8;5;i;
;684;;684;5;i;
