Number of Variables;4;
Variables:;
0;;this;
1;;this.node;
2;;text;
3;;text;

Number of Block duas;40;
Line Duas for method; getValue;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;239;239;240;0;this;
2;239;239;242;0;this;
3;239;242;243;0;this;
4;239;242;249;0;this;
5;239;249;250;0;this;
6;239;249;252;0;this;
7;239;252;253;0;this;
8;239;252;255;0;this;
9;239;255;256;0;this;
10;239;255;262;0;this;
11;239;;256;0;this;
12;239;;253;0;this;
13;239;;250;0;this;
14;239;;243;0;this;
15;239;;240;0;this;
16;239;239;240;1;this.node;
17;239;239;242;1;this.node;
18;239;242;243;1;this.node;
19;239;242;249;1;this.node;
20;239;249;250;1;this.node;
21;239;249;252;1;this.node;
22;239;252;253;1;this.node;
23;239;252;255;1;this.node;
24;239;255;256;1;this.node;
25;239;255;262;1;this.node;
26;239;;256;1;this.node;
27;239;;253;1;this.node;
28;239;;250;1;this.node;
29;239;;243;1;this.node;
30;239;;240;1;this.node;
31;243;244;245;2;text;
32;243;244;247;2;text;
33;243;;247;2;text;
34;243;;245;2;text;
35;245;;247;2;text;
36;256;257;258;2;text;
37;256;257;260;2;text;
38;256;;260;2;text;
39;256;;258;2;text;
40;258;;260;2;text;

Block Duas for method; getValue;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;14;0;this;
;239;239;240;0;this;
2;0;0;1;0;this;
;239;239;242;0;this;
3;0;1;11;0;this;
;239;242;243;0;this;
4;0;1;2;0;this;
;239;242;249;0;this;
5;0;2;10;0;this;
;239;249;250;0;this;
6;0;2;3;0;this;
;239;249;252;0;this;
7;0;3;9;0;this;
;239;252;253;0;this;
8;0;3;4;0;this;
;239;252;255;0;this;
9;0;4;6;0;this;
;239;255;256;0;this;
10;0;4;5;0;this;
;239;255;262;0;this;
11;0;;6;0;this;
;239;;256;0;this;
12;0;;9;0;this;
;239;;253;0;this;
13;0;;10;0;this;
;239;;250;0;this;
14;0;;11;0;this;
;239;;243;0;this;
15;0;;14;0;this;
;239;;240;0;this;
16;0;0;14;1;this.node;
;239;239;240;1;this.node;
17;0;0;1;1;this.node;
;239;239;242;1;this.node;
18;0;1;11;1;this.node;
;239;242;243;1;this.node;
19;0;1;2;1;this.node;
;239;242;249;1;this.node;
20;0;2;10;1;this.node;
;239;249;250;1;this.node;
21;0;2;3;1;this.node;
;239;249;252;1;this.node;
22;0;3;9;1;this.node;
;239;252;253;1;this.node;
23;0;3;4;1;this.node;
;239;252;255;1;this.node;
24;0;4;6;1;this.node;
;239;255;256;1;this.node;
25;0;4;5;1;this.node;
;239;255;262;1;this.node;
26;0;;6;1;this.node;
;239;;256;1;this.node;
27;0;;9;1;this.node;
;239;;253;1;this.node;
28;0;;10;1;this.node;
;239;;250;1;this.node;
29;0;;11;1;this.node;
;239;;243;1;this.node;
30;0;;14;1;this.node;
;239;;240;1;this.node;
31;11;11;13;2;text;
;243;244;245;2;text;
32;11;11;12;2;text;
;243;244;247;2;text;
33;11;;12;2;text;
;243;;247;2;text;
34;11;;13;2;text;
;243;;245;2;text;
35;13;;12;2;text;
;245;;247;2;text;
36;6;6;8;3;text;
;256;257;258;2;text;
37;6;6;7;3;text;
;256;257;260;2;text;
38;6;;7;3;text;
;256;;260;2;text;
39;6;;8;3;text;
;256;;258;2;text;
40;8;;7;3;text;
;258;;260;2;text;
