Number of Variables;2;
Variables:;
0;;this;
1;;this.node;

Number of Block duas;16;
Line Duas for method; isLeaf;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;203;203;204;0;this;
2;203;203;206;0;this;
3;203;206;207;0;this;
4;203;206;209;0;this;
5;203;207;207;0;this;
6;203;207;207;0;this;
7;203;204;204;0;this;
8;203;204;204;0;this;
9;203;203;204;1;this.node;
10;203;203;206;1;this.node;
11;203;206;207;1;this.node;
12;203;206;209;1;this.node;
13;203;207;207;1;this.node;
14;203;207;207;1;this.node;
15;203;204;204;1;this.node;
16;203;204;204;1;this.node;

Block Duas for method; isLeaf;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;7;0;this;
;203;203;204;0;this;
2;0;0;1;0;this;
;203;203;206;0;this;
3;0;1;3;0;this;
;203;206;207;0;this;
4;0;1;2;0;this;
;203;206;209;0;this;
5;0;3;6;0;this;
;203;207;207;0;this;
6;0;3;4;0;this;
;203;207;207;0;this;
7;0;7;10;0;this;
;203;204;204;0;this;
8;0;7;8;0;this;
;203;204;204;0;this;
9;0;0;7;1;this.node;
;203;203;204;1;this.node;
10;0;0;1;1;this.node;
;203;203;206;1;this.node;
11;0;1;3;1;this.node;
;203;206;207;1;this.node;
12;0;1;2;1;this.node;
;203;206;209;1;this.node;
13;0;3;6;1;this.node;
;203;207;207;1;this.node;
14;0;3;4;1;this.node;
;203;207;207;1;this.node;
15;0;7;10;1;this.node;
;203;204;204;1;this.node;
16;0;7;8;1;this.node;
;203;204;204;1;this.node;
