Number of Variables;5;
Variables:;
0;;meses;
1;;n;
2;;out;
3;;juros;
4;;i;

Number of Block duas;17;
Line Duas for method; calculaJuros;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;7;8;9;1;meses;
2;7;8;12;1;meses;
3;7;12;13;1;meses;
4;7;12;16;1;meses;
5;7;;13;2;n;
6;7;;16;4;out;
7;7;;9;4;out;
8;7;;16;3;juros;
9;7;;17;3;juros;
10;7;;13;3;juros;
11;12;12;13;5;i;
12;12;12;16;5;i;
13;12;;14;5;i;
14;13;;16;3;juros;
15;13;;17;3;juros;
16;13;;13;3;juros;
17;12;12;13;5;i;
18;12;12;16;5;i;
19;12;;14;5;i;

Block Duas for method; calculaJuros;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;5;0;meses;
;7;8;9;1;meses;
2;0;0;1;0;meses;
;7;8;12;1;meses;
3;0;2;4;0;meses;
;7;12;13;1;meses;
4;0;2;3;0;meses;
;7;12;16;1;meses;
5;0;;4;1;n;
;7;;13;2;n;
6;0;;3;2;out;
;7;;16;4;out;
7;0;;5;2;out;
;7;;9;4;out;
8;0;;3;3;juros;
;7;;16;3;juros;
;7;;17;3;juros;
9;0;;4;3;juros;
;7;;13;3;juros;
10;1;2;4;4;i;
;12;12;13;5;i;
11;1;2;3;4;i;
;12;12;16;5;i;
12;1;;4;4;i;
;12;;14;5;i;
13;4;;3;3;juros;
;13;;16;3;juros;
;13;;17;3;juros;
14;4;;4;3;juros;
;13;;13;3;juros;
15;4;2;4;4;i;
;12;12;13;5;i;
16;4;2;3;4;i;
;12;12;16;5;i;
17;4;;4;4;i;
;12;;14;5;i;
