Number of Variables;16;
Variables:;
0;L@0;this;
1;L@1;counts;
2;L@2;indicators;
3;L@3;i;
4;L@4;minVal;
5;L@6;toMergeOne;
6;L@7;toMergeTwo;
7;L@8;i;
8;L@9;j;
9;L@10;val;
10;L@0.weka.filters.supervised.attribute.MergeNominalValues.m_SigLevel;this.m_SigLevel;
11;L@11;originalSig;
12;L@13;adjustedSig;
13;L@0.weka.filters.supervised.attribute.MergeNominalValues.m_Debug;this.m_Debug;
14;S@java.lang.System.err;err;
15;L@15;i;

Number of Block duas;187;
Line Duas for method; mergeValues;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;598;627;631;0;this;
2;598;627;651;0;this;
3;598;;635;0;this;
4;598;636;637;0;this;
5;598;636;640;0;this;
6;598;640;643;0;this;
7;598;640;693;0;this;
8;598;606;609;1;counts;
9;598;606;693;1;counts;
10;598;613;614;1;counts;
11;598;613;627;1;counts;
12;598;;651;1;counts;
13;598;652;653;1;counts;
14;598;652;673;1;counts;
15;598;;668;1;counts;
16;598;661;662;1;counts;
17;598;661;661;1;counts;
18;598;;662;1;counts;
19;598;;656;1;counts;
20;598;;631;1;counts;
21;598;;632;1;counts;
22;598;;635;1;counts;
23;598;;614;1;counts;
24;598;615;616;1;counts;
25;598;615;613;1;counts;
26;598;;616;1;counts;
27;598;627;631;10;this.m_SigLevel;
28;598;627;651;10;this.m_SigLevel;
29;598;640;643;10;this.m_SigLevel;
30;598;640;693;10;this.m_SigLevel;
31;598;636;637;13;this.m_Debug;
32;598;636;640;13;this.m_Debug;
33;598;;637;14;err;
34;598;601;602;2;indicators;
35;598;601;606;2;indicators;
36;598;;693;2;indicators;
37;598;673;676;2;indicators;
38;598;673;691;2;indicators;
39;598;676;677;2;indicators;
40;598;676;673;2;indicators;
41;598;677;681;2;indicators;
42;598;677;685;2;indicators;
43;598;;685;2;indicators;
44;598;;681;2;indicators;
45;598;;635;2;indicators;
46;598;643;644;2;indicators;
47;598;643;643;2;indicators;
48;598;;644;2;indicators;
49;598;;602;2;indicators;
50;601;601;602;3;i;
51;601;601;606;3;i;
52;601;;602;3;i;
53;601;;601;3;i;
54;601;601;602;3;i;
55;601;601;606;3;i;
56;601;;602;3;i;
57;601;;601;3;i;
58;609;627;631;3;reducedCounts;
59;609;627;651;3;reducedCounts;
60;609;;614;3;reducedCounts;
61;609;;616;3;reducedCounts;
62;609;;617;3;reducedCounts;
63;610;627;631;4;minVal;
64;610;627;651;4;minVal;
65;610;618;619;4;minVal;
66;610;618;615;4;minVal;
67;611;;681;5;toMergeOne;
68;611;;662;5;toMergeOne;
69;612;676;677;6;toMergeTwo;
70;612;676;673;6;toMergeTwo;
71;612;677;681;6;toMergeTwo;
72;612;677;685;6;toMergeTwo;
73;612;653;656;6;toMergeTwo;
74;612;653;658;6;toMergeTwo;
75;612;658;661;6;toMergeTwo;
76;612;658;668;6;toMergeTwo;
77;613;613;614;7;i;
78;613;613;627;7;i;
79;613;;614;7;i;
80;613;;615;7;i;
81;613;;613;7;i;
82;613;;620;7;i;
83;615;615;616;8;j;
84;615;615;613;8;j;
85;615;;616;8;j;
86;615;;615;8;j;
87;615;;621;8;j;
88;617;618;619;9;val;
89;617;618;615;9;val;
90;617;;619;9;val;
91;619;627;631;4;minVal;
92;619;627;651;4;minVal;
93;619;618;619;4;minVal;
94;619;618;615;4;minVal;
95;620;;681;5;toMergeOne;
96;620;;662;5;toMergeOne;
97;621;676;677;6;toMergeTwo;
98;621;676;673;6;toMergeTwo;
99;621;677;681;6;toMergeTwo;
100;621;677;685;6;toMergeTwo;
101;621;653;656;6;toMergeTwo;
102;621;653;658;6;toMergeTwo;
103;621;658;661;6;toMergeTwo;
104;621;658;668;6;toMergeTwo;
105;615;615;616;8;j;
106;615;615;613;8;j;
107;615;;616;8;j;
108;615;;615;8;j;
109;615;;621;8;j;
110;613;613;614;7;i;
111;613;613;627;7;i;
112;613;;614;7;i;
113;613;;615;7;i;
114;613;;613;7;i;
115;613;;620;7;i;
116;633;;637;11;originalSig;
117;635;640;643;12;adjustedSig;
118;635;640;693;12;adjustedSig;
119;635;;637;12;adjustedSig;
120;643;643;644;15;i;
121;643;643;643;15;i;
122;643;;644;15;i;
123;643;;643;15;i;
124;643;643;644;15;i;
125;643;643;643;15;i;
126;643;;644;15;i;
127;643;;643;15;i;
128;651;;691;7;newCounts;
129;651;;668;7;newCounts;
130;651;;662;7;newCounts;
131;651;;656;7;newCounts;
132;652;652;653;8;i;
133;652;652;673;8;i;
134;652;653;656;8;i;
135;652;653;658;8;i;
136;652;658;661;8;i;
137;652;658;668;8;i;
138;652;;668;8;i;
139;652;;652;8;i;
140;652;661;662;8;i;
141;652;661;661;8;i;
142;652;;662;8;i;
143;652;;656;8;i;
144;661;661;662;9;k;
145;661;661;661;9;k;
146;661;;662;9;k;
147;661;;661;9;k;
148;661;661;662;9;k;
149;661;661;661;9;k;
150;661;;662;9;k;
151;661;;661;9;k;
152;652;652;653;8;i;
153;652;652;673;8;i;
154;652;653;656;8;i;
155;652;653;658;8;i;
156;652;658;661;8;i;
157;652;658;668;8;i;
158;652;;668;8;i;
159;652;;652;8;i;
160;652;661;662;8;i;
161;652;661;661;8;i;
162;652;;662;8;i;
163;652;;656;8;i;
164;673;673;676;8;i;
165;673;673;691;8;i;
166;673;676;677;8;i;
167;673;676;673;8;i;
168;673;;673;8;i;
169;673;677;681;8;i;
170;673;677;685;8;i;
171;673;;685;8;i;
172;673;;681;8;i;
173;673;673;676;8;i;
174;673;673;691;8;i;
175;673;676;677;8;i;
176;673;676;673;8;i;
177;673;;673;8;i;
178;673;677;681;8;i;
179;673;677;685;8;i;
180;673;;685;8;i;
181;673;;681;8;i;
182;691;606;609;1;counts;
183;691;606;693;1;counts;
184;691;613;614;1;counts;
185;691;613;627;1;counts;
186;691;;651;1;counts;
187;691;652;653;1;counts;
188;691;652;673;1;counts;
189;691;;668;1;counts;
190;691;661;662;1;counts;
191;691;661;661;1;counts;
192;691;;662;1;counts;
193;691;;656;1;counts;
194;691;;631;1;counts;
195;691;;632;1;counts;
196;691;;635;1;counts;
197;691;;614;1;counts;
198;691;615;616;1;counts;
199;691;615;613;1;counts;
200;691;;616;1;counts;

Block Duas for method; mergeValues;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;6;26;0;this;
;598;627;631;0;this;
2;0;6;7;0;this;
;598;627;651;0;this;
3;0;;26;0;this;
;598;;635;0;this;
4;0;26;32;0;this;
;598;636;637;0;this;
5;0;26;27;0;this;
;598;636;640;0;this;
6;0;27;28;0;this;
;598;640;643;0;this;
7;0;27;3;0;this;
;598;640;693;0;this;
8;0;2;4;1;counts;
;598;606;609;1;counts;
9;0;2;3;1;counts;
;598;606;693;1;counts;
10;0;5;33;1;counts;
;598;613;614;1;counts;
11;0;5;6;1;counts;
;598;613;627;1;counts;
12;0;;7;1;counts;
;598;;651;1;counts;
13;0;8;17;1;counts;
;598;652;653;1;counts;
14;0;8;9;1;counts;
;598;652;673;1;counts;
15;0;;19;1;counts;
;598;;668;1;counts;
16;0;22;24;1;counts;
;598;661;662;1;counts;
17;0;22;23;1;counts;
;598;661;661;1;counts;
18;0;;24;1;counts;
;598;;662;1;counts;
19;0;;25;1;counts;
;598;;656;1;counts;
20;0;;26;1;counts;
;598;;631;1;counts;
;598;;632;1;counts;
;598;;635;1;counts;
21;0;;33;1;counts;
;598;;614;1;counts;
22;0;34;36;1;counts;
;598;615;616;1;counts;
23;0;34;35;1;counts;
;598;615;613;1;counts;
24;0;;36;1;counts;
;598;;616;1;counts;
25;0;6;26;10;this.m_SigLevel;
;598;627;631;10;this.m_SigLevel;
26;0;6;7;10;this.m_SigLevel;
;598;627;651;10;this.m_SigLevel;
27;0;27;28;10;this.m_SigLevel;
;598;640;643;10;this.m_SigLevel;
28;0;27;3;10;this.m_SigLevel;
;598;640;693;10;this.m_SigLevel;
29;0;26;32;13;this.m_Debug;
;598;636;637;13;this.m_Debug;
30;0;26;27;13;this.m_Debug;
;598;636;640;13;this.m_Debug;
31;0;;32;14;err;
;598;;637;14;err;
32;0;1;39;2;indicators;
;598;601;602;2;indicators;
33;0;1;2;2;indicators;
;598;601;606;2;indicators;
34;0;;3;2;indicators;
;598;;693;2;indicators;
35;0;10;12;2;indicators;
;598;673;676;2;indicators;
36;0;10;11;2;indicators;
;598;673;691;2;indicators;
37;0;12;14;2;indicators;
;598;676;677;2;indicators;
38;0;12;13;2;indicators;
;598;676;673;2;indicators;
39;0;14;16;2;indicators;
;598;677;681;2;indicators;
40;0;14;15;2;indicators;
;598;677;685;2;indicators;
41;0;;15;2;indicators;
;598;;685;2;indicators;
42;0;;16;2;indicators;
;598;;681;2;indicators;
43;0;;26;2;indicators;
;598;;635;2;indicators;
44;0;29;31;2;indicators;
;598;643;644;2;indicators;
45;0;29;30;2;indicators;
;598;643;643;2;indicators;
46;0;;31;2;indicators;
;598;;644;2;indicators;
47;0;;39;2;indicators;
;598;;602;2;indicators;
48;0;1;39;3;i;
;601;601;602;3;i;
49;0;1;2;3;i;
;601;601;606;3;i;
50;0;;39;3;i;
;601;;602;3;i;
;601;;601;3;i;
51;39;1;39;3;i;
;601;601;602;3;i;
52;39;1;2;3;i;
;601;601;606;3;i;
53;39;;39;3;i;
;601;;602;3;i;
;601;;601;3;i;
54;4;6;26;3;reducedCounts;
;609;627;631;3;reducedCounts;
55;4;6;7;3;reducedCounts;
;609;627;651;3;reducedCounts;
56;4;;33;3;reducedCounts;
;609;;614;3;reducedCounts;
57;4;;36;3;reducedCounts;
;609;;616;3;reducedCounts;
;609;;617;3;reducedCounts;
58;4;6;26;4;minVal;
;610;627;631;4;minVal;
59;4;6;7;4;minVal;
;610;627;651;4;minVal;
60;4;36;38;4;minVal;
;610;618;619;4;minVal;
61;4;36;37;4;minVal;
;610;618;615;4;minVal;
62;4;;16;5;toMergeOne;
;611;;681;5;toMergeOne;
63;4;;24;5;toMergeOne;
;611;;662;5;toMergeOne;
64;4;12;14;6;toMergeTwo;
;612;676;677;6;toMergeTwo;
65;4;12;13;6;toMergeTwo;
;612;676;673;6;toMergeTwo;
66;4;14;16;6;toMergeTwo;
;612;677;681;6;toMergeTwo;
67;4;14;15;6;toMergeTwo;
;612;677;685;6;toMergeTwo;
68;4;17;25;6;toMergeTwo;
;612;653;656;6;toMergeTwo;
69;4;17;18;6;toMergeTwo;
;612;653;658;6;toMergeTwo;
70;4;18;21;6;toMergeTwo;
;612;658;661;6;toMergeTwo;
71;4;18;19;6;toMergeTwo;
;612;658;668;6;toMergeTwo;
72;4;5;33;7;i;
;613;613;614;7;i;
73;4;5;6;7;i;
;613;613;627;7;i;
74;4;;33;7;i;
;613;;614;7;i;
;613;;615;7;i;
75;4;;35;7;i;
;613;;613;7;i;
76;4;;38;7;i;
;613;;620;7;i;
77;33;34;36;8;j;
;615;615;616;8;j;
78;33;34;35;8;j;
;615;615;613;8;j;
79;33;;36;8;j;
;615;;616;8;j;
80;33;;37;8;j;
;615;;615;8;j;
81;33;;38;8;j;
;615;;621;8;j;
82;36;36;38;9;val;
;617;618;619;9;val;
83;36;36;37;9;val;
;617;618;615;9;val;
84;36;;38;9;val;
;617;;619;9;val;
85;38;6;26;4;minVal;
;619;627;631;4;minVal;
86;38;6;7;4;minVal;
;619;627;651;4;minVal;
87;38;36;38;4;minVal;
;619;618;619;4;minVal;
88;38;36;37;4;minVal;
;619;618;615;4;minVal;
89;38;;16;5;toMergeOne;
;620;;681;5;toMergeOne;
90;38;;24;5;toMergeOne;
;620;;662;5;toMergeOne;
91;38;12;14;6;toMergeTwo;
;621;676;677;6;toMergeTwo;
92;38;12;13;6;toMergeTwo;
;621;676;673;6;toMergeTwo;
93;38;14;16;6;toMergeTwo;
;621;677;681;6;toMergeTwo;
94;38;14;15;6;toMergeTwo;
;621;677;685;6;toMergeTwo;
95;38;17;25;6;toMergeTwo;
;621;653;656;6;toMergeTwo;
96;38;17;18;6;toMergeTwo;
;621;653;658;6;toMergeTwo;
97;38;18;21;6;toMergeTwo;
;621;658;661;6;toMergeTwo;
98;38;18;19;6;toMergeTwo;
;621;658;668;6;toMergeTwo;
99;37;34;36;8;j;
;615;615;616;8;j;
100;37;34;35;8;j;
;615;615;613;8;j;
101;37;;36;8;j;
;615;;616;8;j;
102;37;;37;8;j;
;615;;615;8;j;
103;37;;38;8;j;
;615;;621;8;j;
104;35;5;33;7;i;
;613;613;614;7;i;
105;35;5;6;7;i;
;613;613;627;7;i;
106;35;;33;7;i;
;613;;614;7;i;
;613;;615;7;i;
107;35;;35;7;i;
;613;;613;7;i;
108;35;;38;7;i;
;613;;620;7;i;
109;26;;32;11;originalSig;
;633;;637;11;originalSig;
110;26;27;28;12;adjustedSig;
;635;640;643;12;adjustedSig;
111;26;27;3;12;adjustedSig;
;635;640;693;12;adjustedSig;
112;26;;32;12;adjustedSig;
;635;;637;12;adjustedSig;
113;28;29;31;15;i;
;643;643;644;15;i;
114;28;29;30;15;i;
;643;643;643;15;i;
115;28;;31;15;i;
;643;;644;15;i;
;643;;643;15;i;
116;31;29;31;15;i;
;643;643;644;15;i;
117;31;29;30;15;i;
;643;643;643;15;i;
118;31;;31;15;i;
;643;;644;15;i;
;643;;643;15;i;
119;7;;11;7;newCounts;
;651;;691;7;newCounts;
120;7;;19;7;newCounts;
;651;;668;7;newCounts;
121;7;;24;7;newCounts;
;651;;662;7;newCounts;
122;7;;25;7;newCounts;
;651;;656;7;newCounts;
123;7;8;17;8;i;
;652;652;653;8;i;
124;7;8;9;8;i;
;652;652;673;8;i;
125;7;17;25;8;i;
;652;653;656;8;i;
126;7;17;18;8;i;
;652;653;658;8;i;
127;7;18;21;8;i;
;652;658;661;8;i;
128;7;18;19;8;i;
;652;658;668;8;i;
129;7;;19;8;i;
;652;;668;8;i;
130;7;;20;8;i;
;652;;652;8;i;
131;7;22;24;8;i;
;652;661;662;8;i;
132;7;22;23;8;i;
;652;661;661;8;i;
133;7;;24;8;i;
;652;;662;8;i;
134;7;;25;8;i;
;652;;656;8;i;
135;21;22;24;9;k;
;661;661;662;9;k;
136;21;22;23;9;k;
;661;661;661;9;k;
137;21;;24;9;k;
;661;;662;9;k;
;661;;661;9;k;
138;24;22;24;9;k;
;661;661;662;9;k;
139;24;22;23;9;k;
;661;661;661;9;k;
140;24;;24;9;k;
;661;;662;9;k;
;661;;661;9;k;
141;20;8;17;8;i;
;652;652;653;8;i;
142;20;8;9;8;i;
;652;652;673;8;i;
143;20;17;25;8;i;
;652;653;656;8;i;
144;20;17;18;8;i;
;652;653;658;8;i;
145;20;18;21;8;i;
;652;658;661;8;i;
146;20;18;19;8;i;
;652;658;668;8;i;
147;20;;19;8;i;
;652;;668;8;i;
148;20;;20;8;i;
;652;;652;8;i;
149;20;22;24;8;i;
;652;661;662;8;i;
150;20;22;23;8;i;
;652;661;661;8;i;
151;20;;24;8;i;
;652;;662;8;i;
152;20;;25;8;i;
;652;;656;8;i;
153;9;10;12;8;i;
;673;673;676;8;i;
154;9;10;11;8;i;
;673;673;691;8;i;
155;9;12;14;8;i;
;673;676;677;8;i;
156;9;12;13;8;i;
;673;676;673;8;i;
157;9;;13;8;i;
;673;;673;8;i;
158;9;14;16;8;i;
;673;677;681;8;i;
159;9;14;15;8;i;
;673;677;685;8;i;
160;9;;15;8;i;
;673;;685;8;i;
161;9;;16;8;i;
;673;;681;8;i;
162;13;10;12;8;i;
;673;673;676;8;i;
163;13;10;11;8;i;
;673;673;691;8;i;
164;13;12;14;8;i;
;673;676;677;8;i;
165;13;12;13;8;i;
;673;676;673;8;i;
166;13;;13;8;i;
;673;;673;8;i;
167;13;14;16;8;i;
;673;677;681;8;i;
168;13;14;15;8;i;
;673;677;685;8;i;
169;13;;15;8;i;
;673;;685;8;i;
170;13;;16;8;i;
;673;;681;8;i;
171;11;2;4;1;counts;
;691;606;609;1;counts;
172;11;2;3;1;counts;
;691;606;693;1;counts;
173;11;5;33;1;counts;
;691;613;614;1;counts;
174;11;5;6;1;counts;
;691;613;627;1;counts;
175;11;;7;1;counts;
;691;;651;1;counts;
176;11;8;17;1;counts;
;691;652;653;1;counts;
177;11;8;9;1;counts;
;691;652;673;1;counts;
178;11;;19;1;counts;
;691;;668;1;counts;
179;11;22;24;1;counts;
;691;661;662;1;counts;
180;11;22;23;1;counts;
;691;661;661;1;counts;
181;11;;24;1;counts;
;691;;662;1;counts;
182;11;;25;1;counts;
;691;;656;1;counts;
183;11;;26;1;counts;
;691;;631;1;counts;
;691;;632;1;counts;
;691;;635;1;counts;
184;11;;33;1;counts;
;691;;614;1;counts;
185;11;34;36;1;counts;
;691;615;616;1;counts;
186;11;34;35;1;counts;
;691;615;613;1;counts;
187;11;;36;1;counts;
;691;;616;1;counts;
