Number of Variables;9;
Variables:;
0;;this;
1;;visitor;
2;;typeHint;
3;;this._elementType;
4;;this._elementSerializer;
5;;this._property;
6;;arrayVisitor;
7;;contentType;
8;;valueSer;

Number of Block duas;20;
Line Duas for method; acceptJsonFormatVisitor;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;351;;354;0;this;
2;351;;358;0;this;
3;351;;360;0;this;
4;351;;353;1;visitor;
5;351;;360;1;visitor;
6;351;;354;2;typeHint;
7;351;;354;6;this._elementType;
8;351;;358;8;this._elementSerializer;
9;351;;360;9;this._property;
10;351;352;353;3;arrayVisitor;
11;351;352;364;3;arrayVisitor;
12;351;;362;3;arrayVisitor;
13;354;355;356;5;contentType;
14;354;355;358;5;contentType;
15;354;;362;5;contentType;
16;354;;360;5;contentType;
17;358;359;360;7;valueSer;
18;358;359;362;7;valueSer;
19;358;;362;7;valueSer;
20;360;;362;7;valueSer;

Block Duas for method; acceptJsonFormatVisitor;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;2;0;this;
;351;;354;0;this;
2;0;;3;0;this;
;351;;358;0;this;
3;0;;5;0;this;
;351;;360;0;this;
4;0;;2;1;visitor;
;351;;353;1;visitor;
5;0;;5;1;visitor;
;351;;360;1;visitor;
6;0;;2;2;typeHint;
;351;;354;2;typeHint;
7;0;;2;3;this._elementType;
;351;;354;6;this._elementType;
8;0;;3;4;this._elementSerializer;
;351;;358;8;this._elementSerializer;
9;0;;5;5;this._property;
;351;;360;9;this._property;
10;0;0;2;6;arrayVisitor;
;351;352;353;3;arrayVisitor;
11;0;0;1;6;arrayVisitor;
;351;352;364;3;arrayVisitor;
12;0;;4;6;arrayVisitor;
;351;;362;3;arrayVisitor;
13;2;2;6;7;contentType;
;354;355;356;5;contentType;
14;2;2;3;7;contentType;
;354;355;358;5;contentType;
15;2;;4;7;contentType;
;354;;362;5;contentType;
16;2;;5;7;contentType;
;354;;360;5;contentType;
17;3;3;5;8;valueSer;
;358;359;360;7;valueSer;
18;3;3;4;8;valueSer;
;358;359;362;7;valueSer;
19;3;;4;8;valueSer;
;358;;362;7;valueSer;
20;5;;4;8;valueSer;
;360;;362;7;valueSer;
