Number of Variables;8;
Variables:;
0;;value;
1;;jgen;
2;;provider;
3;;ser;
4;;len;
5;;typeSer;
6;;i;
7;;elem;

Number of Block duas;26;
Line Duas for method; serializeContentsUsing;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;254;;261;1;value;
2;254;;269;2;jgen;
3;254;;267;2;jgen;
4;254;;263;2;jgen;
5;254;;269;3;provider;
6;254;;267;3;provider;
7;254;;263;3;provider;
8;254;;269;4;ser;
9;254;;267;4;ser;
10;254;260;261;5;len;
11;254;260;283;5;len;
12;255;266;267;6;typeSer;
13;255;266;269;6;typeSer;
14;255;;269;6;typeSer;
15;257;260;261;8;i;
16;257;260;283;8;i;
17;257;;261;8;i;
18;257;;260;8;i;
19;261;262;263;9;elem;
20;261;262;266;9;elem;
21;261;;269;9;elem;
22;261;;267;9;elem;
23;260;260;261;8;i;
24;260;260;283;8;i;
25;260;;261;8;i;
26;260;;260;8;i;

Block Duas for method; serializeContentsUsing;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;3;0;value;
;254;;261;1;value;
2;0;;5;1;jgen;
;254;;269;2;jgen;
3;0;;7;1;jgen;
;254;;267;2;jgen;
4;0;;8;1;jgen;
;254;;263;2;jgen;
5;0;;5;2;provider;
;254;;269;3;provider;
6;0;;7;2;provider;
;254;;267;3;provider;
7;0;;8;2;provider;
;254;;263;3;provider;
8;0;;5;3;ser;
;254;;269;4;ser;
9;0;;7;3;ser;
;254;;267;4;ser;
10;0;1;3;4;len;
;254;260;261;5;len;
11;0;1;2;4;len;
;254;260;283;5;len;
12;0;4;7;5;typeSer;
;255;266;267;6;typeSer;
13;0;4;5;5;typeSer;
;255;266;269;6;typeSer;
14;0;;5;5;typeSer;
;255;;269;6;typeSer;
15;0;1;3;6;i;
;257;260;261;8;i;
16;0;1;2;6;i;
;257;260;283;8;i;
17;0;;3;6;i;
;257;;261;8;i;
18;0;;6;6;i;
;257;;260;8;i;
19;3;3;8;7;elem;
;261;262;263;9;elem;
20;3;3;4;7;elem;
;261;262;266;9;elem;
21;3;;5;7;elem;
;261;;269;9;elem;
22;3;;7;7;elem;
;261;;267;9;elem;
23;6;1;3;6;i;
;260;260;261;8;i;
24;6;1;2;6;i;
;260;260;283;8;i;
25;6;;3;6;i;
;260;;261;8;i;
26;6;;6;6;i;
;260;;260;8;i;
