Number of Variables;11;
Variables:;
0;;this;
1;;value;
2;;jgen;
3;;provider;
4;;len;
5;;typeSer;
6;;i;
7;;serializers;
8;;elem;
9;;cc;
10;;serializer;

Number of Block duas;29;
Line Duas for method; serializeTypedContents;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;289;;304;0;this;
2;289;;296;1;value;
3;289;;306;2;jgen;
4;289;;298;2;jgen;
5;289;;306;3;provider;
6;289;;304;3;provider;
7;289;;298;3;provider;
8;289;295;296;4;len;
9;289;295;319;4;len;
10;290;;306;5;typeSer;
11;291;295;296;7;i;
12;291;295;319;7;i;
13;291;;296;7;i;
14;291;;295;7;i;
15;294;;302;9;serializers;
16;294;;304;9;serializers;
17;296;297;298;8;elem;
18;296;297;301;8;elem;
19;296;;301;8;elem;
20;296;;306;8;elem;
21;301;;304;11;cc;
22;302;303;304;12;serializer;
23;302;303;306;12;serializer;
24;302;;306;12;serializer;
25;304;;306;12;serializer;
26;295;295;296;7;i;
27;295;295;319;7;i;
28;295;;296;7;i;
29;295;;295;7;i;

Block Duas for method; serializeTypedContents;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;7;0;this;
;289;;304;0;this;
2;0;;3;1;value;
;289;;296;1;value;
3;0;;5;2;jgen;
;289;;306;2;jgen;
4;0;;8;2;jgen;
;289;;298;2;jgen;
5;0;;5;3;provider;
;289;;306;3;provider;
6;0;;7;3;provider;
;289;;304;3;provider;
7;0;;8;3;provider;
;289;;298;3;provider;
8;0;1;3;4;len;
;289;295;296;4;len;
9;0;1;2;4;len;
;289;295;319;4;len;
10;0;;5;5;typeSer;
;290;;306;5;typeSer;
11;0;1;3;6;i;
;291;295;296;7;i;
12;0;1;2;6;i;
;291;295;319;7;i;
13;0;;3;6;i;
;291;;296;7;i;
14;0;;6;6;i;
;291;;295;7;i;
15;0;;4;7;serializers;
;294;;302;9;serializers;
16;0;;7;7;serializers;
;294;;304;9;serializers;
17;3;3;8;8;elem;
;296;297;298;8;elem;
18;3;3;4;8;elem;
;296;297;301;8;elem;
19;3;;4;8;elem;
;296;;301;8;elem;
20;3;;5;8;elem;
;296;;306;8;elem;
21;4;;7;9;cc;
;301;;304;11;cc;
22;4;4;7;10;serializer;
;302;303;304;12;serializer;
23;4;4;5;10;serializer;
;302;303;306;12;serializer;
24;4;;5;10;serializer;
;302;;306;12;serializer;
25;7;;5;10;serializer;
;304;;306;12;serializer;
26;6;1;3;6;i;
;295;295;296;7;i;
27;6;1;2;6;i;
;295;295;319;7;i;
28;6;;3;6;i;
;295;;296;7;i;
29;6;;6;6;i;
;295;;295;7;i;
