Number of Variables;7;
Variables:;
0;;this;
1;;prop;
2;;vts;
3;;ser;
4;;this._property;
5;;this._elementSerializer;
6;;this._valueTypeSerializer;

Number of Block duas;23;
Line Duas for method; withResolved;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;105;105;105;0;this;
2;105;105;108;0;this;
3;105;;108;0;this;
4;105;105;105;0;this;
5;105;105;108;0;this;
6;105;105;106;0;this;
7;105;105;108;0;this;
8;105;;106;0;this;
9;105;105;105;1;prop;
10;105;105;108;1;prop;
11;105;;108;1;prop;
12;105;;108;2;vts;
13;105;105;106;2;vts;
14;105;105;108;2;vts;
15;105;;108;3;ser;
16;105;105;105;3;ser;
17;105;105;108;3;ser;
18;105;105;105;4;this._property;
19;105;105;108;4;this._property;
20;105;105;105;5;this._elementSerializer;
21;105;105;108;5;this._elementSerializer;
22;105;105;106;6;this._valueTypeSerializer;
23;105;105;108;6;this._valueTypeSerializer;

Block Duas for method; withResolved;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;this;
;105;105;105;0;this;
2;0;0;1;0;this;
;105;105;108;0;this;
3;0;;1;0;this;
;105;;108;0;this;
4;0;2;3;0;this;
;105;105;105;0;this;
5;0;2;1;0;this;
;105;105;108;0;this;
6;0;3;4;0;this;
;105;105;106;0;this;
7;0;3;1;0;this;
;105;105;108;0;this;
8;0;;4;0;this;
;105;;106;0;this;
9;0;0;2;1;prop;
;105;105;105;1;prop;
10;0;0;1;1;prop;
;105;105;108;1;prop;
11;0;;1;1;prop;
;105;;108;1;prop;
12;0;;1;2;vts;
;105;;108;2;vts;
13;0;3;4;2;vts;
;105;105;106;2;vts;
14;0;3;1;2;vts;
;105;105;108;2;vts;
15;0;;1;3;ser;
;105;;108;3;ser;
16;0;2;3;3;ser;
;105;105;105;3;ser;
17;0;2;1;3;ser;
;105;105;108;3;ser;
18;0;0;2;4;this._property;
;105;105;105;4;this._property;
19;0;0;1;4;this._property;
;105;105;108;4;this._property;
20;0;2;3;5;this._elementSerializer;
;105;105;105;5;this._elementSerializer;
21;0;2;1;5;this._elementSerializer;
;105;105;108;5;this._elementSerializer;
22;0;3;4;6;this._valueTypeSerializer;
;105;105;106;6;this._valueTypeSerializer;
23;0;3;1;6;this._valueTypeSerializer;
;105;105;108;6;this._valueTypeSerializer;
