Number of Variables;20;
Variables:;
0;;this;
1;;g2;
2;;state;
3;;record;
4;;this.labelLinksVisible;
5;;this.labelLinkPaint;
6;;this.labelLinkStroke;
7;;STANDARD;
8;;QUAD_CURVE;
9;;CUBIC_CURVE;
10;;RIGHT;
11;;anchorX;
12;;targetX;
13;;targetY;
14;;linkX;
15;;linkY;
16;;elbowX;
17;;elbowY;
18;;anchorY;
19;;style;

Number of Block duas;54;
Line Duas for method; drawLeftLabel;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;3151;3155;3156;0;this;
2;3151;3155;3187;0;this;
3;3151;;3166;0;this;
4;3151;;3167;0;this;
5;3151;;3168;0;this;
6;3151;;3188;1;g2;
7;3151;;3166;1;g2;
8;3151;;3167;1;g2;
9;3151;;3184;1;g2;
10;3151;;3177;1;g2;
11;3151;;3178;1;g2;
12;3151;;3170;1;g2;
13;3151;;3171;1;g2;
14;3151;;3172;1;g2;
15;3151;;3157;2;state;
16;3151;;3159;2;state;
17;3151;;3161;2;state;
18;3151;;3163;2;state;
19;3151;;3187;3;record;
20;3151;;3156;3;record;
21;3151;;3157;3;record;
22;3151;;3159;3;record;
23;3151;3155;3156;7;this.labelLinksVisible;
24;3151;3155;3187;7;this.labelLinksVisible;
25;3151;;3166;14;this.labelLinkPaint;
26;3151;;3167;15;this.labelLinkStroke;
27;3151;3169;3170;17;STANDARD;
28;3151;3169;3174;17;STANDARD;
29;3151;3174;3175;18;QUAD_CURVE;
30;3151;3174;3180;18;QUAD_CURVE;
31;3151;3180;3181;20;CUBIC_CURVE;
32;3151;3180;3187;20;CUBIC_CURVE;
33;3151;;3188;21;RIGHT;
34;3151;;3182;4;anchorX;
35;3151;;3176;4;anchorX;
36;3151;;3171;4;anchorX;
37;3151;;3172;4;anchorX;
38;3152;;3188;5;targetX;
39;3152;;3182;5;targetX;
40;3152;;3176;5;targetX;
41;3152;;3172;5;targetX;
42;3153;;3188;6;targetY;
43;3153;;3182;6;targetY;
44;3153;;3176;6;targetY;
45;3153;;3172;6;targetY;
46;3157;;3182;9;linkX;
47;3157;;3178;9;linkX;
48;3157;;3170;9;linkX;
49;3159;;3182;10;linkY;
50;3159;;3178;10;linkY;
51;3159;;3170;10;linkY;
52;3161;;3182;11;elbowX;
53;3161;;3176;11;elbowX;
54;3161;;3178;11;elbowX;
55;3161;;3170;11;elbowX;
56;3161;;3171;11;elbowX;
57;3163;;3182;12;elbowY;
58;3163;;3176;12;elbowY;
59;3163;;3178;12;elbowY;
60;3163;;3170;12;elbowY;
61;3163;;3171;12;elbowY;
62;3165;;3182;13;anchorY;
63;3165;;3176;13;anchorY;
64;3165;;3171;13;anchorY;
65;3165;;3172;13;anchorY;
66;3168;3169;3170;16;style;
67;3168;3169;3174;16;style;
68;3168;3174;3175;16;style;
69;3168;3174;3180;16;style;
70;3168;3180;3181;16;style;
71;3168;3180;3187;16;style;

Block Duas for method; drawLeftLabel;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;this;
;3151;3155;3156;0;this;
2;0;0;1;0;this;
;3151;3155;3187;0;this;
