Number of Variables;20;
Variables:;
0;;this;
1;;g2;
2;;state;
3;;record;
4;;this.labelLinksVisible;
5;;this.labelLinkPaint;
6;;this.labelLinkStroke;
7;;STANDARD;
8;;QUAD_CURVE;
9;;CUBIC_CURVE;
10;;LEFT;
11;;anchorX;
12;;targetX;
13;;targetY;
14;;linkX;
15;;linkY;
16;;elbowX;
17;;elbowY;
18;;anchorY;
19;;style;

Number of Block duas;54;
Line Duas for method; drawRightLabel;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;3202;3206;3207;0;this;
2;3202;3206;3239;0;this;
3;3202;;3217;0;this;
4;3202;;3218;0;this;
5;3202;;3219;0;this;
6;3202;;3240;1;g2;
7;3202;;3217;1;g2;
8;3202;;3218;1;g2;
9;3202;;3235;1;g2;
10;3202;;3228;1;g2;
11;3202;;3229;1;g2;
12;3202;;3221;1;g2;
13;3202;;3222;1;g2;
14;3202;;3223;1;g2;
15;3202;;3208;2;state;
16;3202;;3210;2;state;
17;3202;;3212;2;state;
18;3202;;3214;2;state;
19;3202;;3239;3;record;
20;3202;;3207;3;record;
21;3202;;3208;3;record;
22;3202;;3210;3;record;
23;3202;3206;3207;7;this.labelLinksVisible;
24;3202;3206;3239;7;this.labelLinksVisible;
25;3202;;3217;14;this.labelLinkPaint;
26;3202;;3218;15;this.labelLinkStroke;
27;3202;3220;3221;17;STANDARD;
28;3202;3220;3225;17;STANDARD;
29;3202;3225;3226;18;QUAD_CURVE;
30;3202;3225;3231;18;QUAD_CURVE;
31;3202;3231;3232;20;CUBIC_CURVE;
32;3202;3231;3239;20;CUBIC_CURVE;
33;3202;;3240;21;LEFT;
34;3202;;3233;4;anchorX;
35;3202;;3227;4;anchorX;
36;3202;;3222;4;anchorX;
37;3202;;3223;4;anchorX;
38;3203;;3240;5;targetX;
39;3203;;3233;5;targetX;
40;3203;;3227;5;targetX;
41;3203;;3223;5;targetX;
42;3204;;3240;6;targetY;
43;3204;;3233;6;targetY;
44;3204;;3227;6;targetY;
45;3204;;3223;6;targetY;
46;3208;;3233;9;linkX;
47;3208;;3229;9;linkX;
48;3208;;3221;9;linkX;
49;3210;;3233;10;linkY;
50;3210;;3229;10;linkY;
51;3210;;3221;10;linkY;
52;3212;;3233;11;elbowX;
53;3212;;3227;11;elbowX;
54;3212;;3229;11;elbowX;
55;3212;;3221;11;elbowX;
56;3212;;3222;11;elbowX;
57;3214;;3233;12;elbowY;
58;3214;;3227;12;elbowY;
59;3214;;3229;12;elbowY;
60;3214;;3221;12;elbowY;
61;3214;;3222;12;elbowY;
62;3216;;3233;13;anchorY;
63;3216;;3227;13;anchorY;
64;3216;;3222;13;anchorY;
65;3216;;3223;13;anchorY;
66;3219;3220;3221;16;style;
67;3219;3220;3225;16;style;
68;3219;3225;3226;16;style;
69;3219;3225;3231;16;style;
70;3219;3231;3232;16;style;
71;3219;3231;3239;16;style;

Block Duas for method; drawRightLabel;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;this;
;3202;3206;3207;0;this;
2;0;0;1;0;this;
;3202;3206;3239;0;this;
3;0;;2;0;this;
;3202;;3217;0;this;
;3202;;3218;0;this;
;3202;;3219;0;this;
4;0;;1;1;g2;
;3202;;3240;1;g2;
5;0;;2;1;g2;
;3202;;3217;1;g2;
;3202;;3218;1;g2;
6;0;;5;1;g2;
;3202;;3235;1;g2;
7;0;;6;1;g2;
