Number of Variables;5;
Variables:;
0;;unexploded;
1;;exploded;
2;;angle;
3;;extent;
4;;explodePercent;

Number of Block duas;8;
Line Duas for method; getArcBounds;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;3123;;3127;1;unexploded;
2;3123;;3135;1;unexploded;
3;3123;;3124;1;unexploded;
4;3123;;3130;2;exploded;
5;3123;;3127;3;angle;
6;3123;;3130;3;angle;
7;3123;;3127;4;extent;
8;3123;;3130;4;extent;
9;3123;3123;3124;5;explodePercent;
10;3123;3123;3127;5;explodePercent;
11;3123;;3133;5;explodePercent;
12;3123;;3134;5;explodePercent;

Block Duas for method; getArcBounds;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;1;0;unexploded;
;3123;;3127;1;unexploded;
;3123;;3135;1;unexploded;
2;0;;2;0;unexploded;
;3123;;3124;1;unexploded;
3;0;;1;1;exploded;
;3123;;3130;2;exploded;
4;0;;1;2;angle;
;3123;;3127;3;angle;
;3123;;3130;3;angle;
5;0;;1;3;extent;
;3123;;3127;4;extent;
;3123;;3130;4;extent;
6;0;0;2;4;explodePercent;
;3123;3123;3124;5;explodePercent;
7;0;0;1;4;explodePercent;
;3123;3123;3127;5;explodePercent;
8;0;;1;4;explodePercent;
;3123;;3133;5;explodePercent;
;3123;;3134;5;explodePercent;
