Number of Variables;9;
Variables:;
0;;this;
1;;key;
2;;selected;
3;;autoPopulate;
4;;WHITE;
5;;this.sectionOutlinePaintMap;
6;;this.baseSectionOutlinePaint;
7;;result;
8;;ds;

Number of Block duas;25;
Line Duas for method; lookupSectionOutlinePaint;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;1187;;1193;0;this;
2;1187;;1210;0;this;
3;1187;;1200;0;this;
4;1187;;1206;0;this;
5;1187;;1203;0;this;
6;1187;;1193;1;key;
7;1187;;1203;1;key;
8;1187;1189;1190;2;selected;
9;1187;1189;1193;2;selected;
10;1187;1199;1200;3;autoPopulate;
11;1187;1199;1210;3;autoPopulate;
12;1187;;1190;5;WHITE;
13;1187;;1193;6;this.sectionOutlinePaintMap;
14;1187;;1203;6;this.sectionOutlinePaintMap;
15;1187;;1210;8;this.baseSectionOutlinePaint;
16;1187;;1206;8;this.baseSectionOutlinePaint;
17;1193;1194;1195;4;result;
18;1193;1194;1199;4;result;
19;1193;;1195;4;result;
20;1200;1201;1202;7;ds;
21;1200;1201;1206;7;ds;
22;1200;;1202;7;ds;
23;1202;;1212;4;result;
24;1206;;1212;4;result;
25;1210;;1212;4;result;

Block Duas for method; lookupSectionOutlinePaint;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;1;0;this;
;1187;;1193;0;this;
2;0;;3;0;this;
;1187;;1210;0;this;
3;0;;5;0;this;
;1187;;1200;0;this;
4;0;;6;0;this;
;1187;;1206;0;this;
5;0;;8;0;this;
;1187;;1203;0;this;
6;0;;1;1;key;
;1187;;1193;1;key;
7;0;;8;1;key;
;1187;;1203;1;key;
8;0;0;10;2;selected;
;1187;1189;1190;2;selected;
9;0;0;1;2;selected;
;1187;1189;1193;2;selected;
10;0;2;5;3;autoPopulate;
;1187;1199;1200;3;autoPopulate;
11;0;2;3;3;autoPopulate;
;1187;1199;1210;3;autoPopulate;
12;0;;10;4;WHITE;
;1187;;1190;5;WHITE;
13;0;;1;5;this.sectionOutlinePaintMap;
;1187;;1193;6;this.sectionOutlinePaintMap;
14;0;;8;5;this.sectionOutlinePaintMap;
;1187;;1203;6;this.sectionOutlinePaintMap;
15;0;;3;6;this.baseSectionOutlinePaint;
;1187;;1210;8;this.baseSectionOutlinePaint;
16;0;;6;6;this.baseSectionOutlinePaint;
;1187;;1206;8;this.baseSectionOutlinePaint;
17;1;1;9;7;result;
;1193;1194;1195;4;result;
18;1;1;2;7;result;
;1193;1194;1199;4;result;
19;1;;9;7;result;
;1193;;1195;4;result;
20;5;5;8;8;ds;
;1200;1201;1202;7;ds;
21;5;5;6;8;ds;
;1200;1201;1206;7;ds;
22;5;;8;8;ds;
;1200;;1202;7;ds;
23;8;;4;7;result;
;1202;;1212;4;result;
24;6;;4;7;result;
;1206;;1212;4;result;
25;3;;4;7;result;
;1210;;1212;4;result;
