Number of Variables;2;
Variables:;
0;;this;
1;;this.secRand;

Number of Block duas;8;
Line Duas for method; getSecRan;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;777;777;778;0;this;
2;777;777;781;0;this;
3;777;;781;0;this;
4;777;;778;0;this;
5;777;;779;0;this;
6;777;777;778;1;this.secRand;
7;777;777;781;1;this.secRand;
8;777;;781;1;this.secRand;
9;778;;781;1;this.secRand;

Block Duas for method; getSecRan;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;this;
;777;777;778;0;this;
2;0;0;1;0;this;
;777;777;781;0;this;
3;0;;1;0;this;
;777;;781;0;this;
4;0;;2;0;this;
;777;;778;0;this;
;777;;779;0;this;
5;0;0;2;1;this.secRand;
;777;777;778;1;this.secRand;
6;0;0;1;1;this.secRand;
;777;777;781;1;this.secRand;
7;0;;1;1;this.secRand;
;777;;781;1;this.secRand;
8;2;;1;1;this.secRand;
;778;;781;1;this.secRand;
