Number of Variables;4;
Variables:;
0;;this;
1;;mu;
2;;sigma;
3;;STANDARD_DEVIATION;

Number of Block duas;7;
Line Duas for method; nextGaussian;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;378;;381;0;this;
2;378;;381;1;mu;
3;378;378;379;2;sigma;
4;378;378;381;2;sigma;
5;378;;381;2;sigma;
6;378;;379;2;sigma;
7;378;;379;3;STANDARD_DEVIATION;

Block Duas for method; nextGaussian;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;1;0;this;
;378;;381;0;this;
2;0;;1;1;mu;
;378;;381;1;mu;
3;0;0;2;2;sigma;
;378;378;379;2;sigma;
4;0;0;1;2;sigma;
;378;378;381;2;sigma;
5;0;;1;2;sigma;
;378;;381;2;sigma;
6;0;;2;2;sigma;
;378;;379;2;sigma;
7;0;;2;3;STANDARD_DEVIATION;
;378;;379;3;STANDARD_DEVIATION;
