Number of Variables;9;
Variables:;
0;;this;
1;;this._inputPtr;
2;;this._inputBuffer;
3;;this._textBuffer;
4;;ptr;
5;;inputLen;
6;;codes;
7;;maxCode;
8;;ch;

Number of Block duas;36;
Line Duas for method; _finishString;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;1491;;1516;0;this;
2;1491;;1517;0;this;
3;1491;;1518;0;this;
4;1491;;1499;0;this;
5;1491;;1502;0;this;
6;1491;;1503;0;this;
7;1491;;1516;2;this._inputPtr;
8;1491;;1502;2;this._inputPtr;
9;1491;;1516;8;this._inputBuffer;
10;1491;;1499;8;this._inputBuffer;
11;1491;;1502;8;this._inputBuffer;
12;1491;;1516;9;this._textBuffer;
13;1491;;1502;9;this._textBuffer;
14;1491;1494;1495;1;ptr;
15;1491;1494;1516;1;ptr;
16;1491;;1516;1;ptr;
17;1491;;1517;1;ptr;
18;1491;;1499;1;ptr;
19;1491;;1509;1;ptr;
20;1491;;1502;1;ptr;
21;1491;;1503;1;ptr;
22;1492;1494;1495;3;inputLen;
23;1492;1494;1516;3;inputLen;
24;1492;1510;1516;3;inputLen;
25;1492;1510;1499;3;inputLen;
26;1495;1500;1501;5;codes;
27;1495;1500;1509;5;codes;
28;1496;1500;1500;6;maxCode;
29;1496;1500;1509;6;maxCode;
30;1499;1500;1500;7;ch;
31;1499;1500;1509;7;ch;
32;1499;1500;1501;7;ch;
33;1499;1500;1509;7;ch;
34;1499;1501;1502;7;ch;
35;1499;1501;1516;7;ch;
36;1509;1510;1516;1;ptr;
37;1509;1510;1499;1;ptr;
38;1509;;1499;1;ptr;
39;1509;;1509;1;ptr;
40;1509;;1502;1;ptr;
41;1509;;1503;1;ptr;
42;1509;;1516;1;ptr;
43;1509;;1517;1;ptr;

Block Duas for method; _finishString;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;1;0;this;
;1491;;1516;0;this;
;1491;;1517;0;this;
;1491;;1518;0;this;
2;0;;3;0;this;
;1491;;1499;0;this;
3;0;;7;0;this;
;1491;;1502;0;this;
;1491;;1503;0;this;
4;0;;1;1;this._inputPtr;
;1491;;1516;2;this._inputPtr;
5;0;;7;1;this._inputPtr;
;1491;;1502;2;this._inputPtr;
6;0;;1;2;this._inputBuffer;
;1491;;1516;8;this._inputBuffer;
7;0;;3;2;this._inputBuffer;
;1491;;1499;8;this._inputBuffer;
8;0;;7;2;this._inputBuffer;
;1491;;1502;8;this._inputBuffer;
9;0;;1;3;this._textBuffer;
;1491;;1516;9;this._textBuffer;
10;0;;7;3;this._textBuffer;
;1491;;1502;9;this._textBuffer;
11;0;0;2;4;ptr;
;1491;1494;1495;1;ptr;
12;0;0;1;4;ptr;
;1491;1494;1516;1;ptr;
13;0;;1;4;ptr;
;1491;;1516;1;ptr;
;1491;;1517;1;ptr;
14;0;;3;4;ptr;
;1491;;1499;1;ptr;
15;0;;4;4;ptr;
;1491;;1509;1;ptr;
16;0;;7;4;ptr;
;1491;;1502;1;ptr;
;1491;;1503;1;ptr;
17;0;0;2;5;inputLen;
;1492;1494;1495;3;inputLen;
18;0;0;1;5;inputLen;
;1492;1494;1516;3;inputLen;
19;0;4;1;5;inputLen;
;1492;1510;1516;3;inputLen;
20;0;4;3;5;inputLen;
;1492;1510;1499;3;inputLen;
21;2;5;6;6;codes;
;1495;1500;1501;5;codes;
22;2;5;4;6;codes;
;1495;1500;1509;5;codes;
23;2;3;5;7;maxCode;
;1496;1500;1500;6;maxCode;
24;2;3;4;7;maxCode;
;1496;1500;1509;6;maxCode;
25;3;3;5;8;ch;
;1499;1500;1500;7;ch;
26;3;3;4;8;ch;
;1499;1500;1509;7;ch;
27;3;5;6;8;ch;
;1499;1500;1501;7;ch;
28;3;5;4;8;ch;
;1499;1500;1509;7;ch;
29;3;6;7;8;ch;
;1499;1501;1502;7;ch;
30;3;6;1;8;ch;
;1499;1501;1516;7;ch;
31;4;4;1;4;ptr;
;1509;1510;1516;1;ptr;
32;4;4;3;4;ptr;
;1509;1510;1499;1;ptr;
33;4;;3;4;ptr;
;1509;;1499;1;ptr;
34;4;;4;4;ptr;
;1509;;1509;1;ptr;
35;4;;7;4;ptr;
;1509;;1502;1;ptr;
;1509;;1503;1;ptr;
36;4;;1;4;ptr;
;1509;;1516;1;ptr;
;1509;;1517;1;ptr;
