Number of Variables;5;
Variables:;
0;;this;
1;;t;
2;;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
3;;this._parsingContext;
4;;this._textBuffer;

Number of Block duas;13;
Line Duas for method; _getText2;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;245;;256;0;this;
2;245;;250;0;this;
3;245;245;246;1;t;
4;245;245;248;1;t;
5;245;248;258;1;t;
6;245;248;250;1;t;
7;245;248;256;1;t;
8;245;;258;1;t;
9;245;248;258;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
10;245;248;250;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
11;245;248;256;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
12;245;;250;3;this._parsingContext;
13;245;;256;4;this._textBuffer;

Block Duas for method; _getText2;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;2;0;this;
;245;;256;0;this;
2;0;;3;0;this;
;245;;250;0;this;
3;0;0;5;1;t;
;245;245;246;1;t;
4;0;0;1;1;t;
;245;245;248;1;t;
5;0;1;4;1;t;
;245;248;258;1;t;
6;0;1;3;1;t;
;245;248;250;1;t;
7;0;1;2;1;t;
;245;248;256;1;t;
8;0;;4;1;t;
;245;;258;1;t;
9;0;1;4;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
;245;248;258;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
10;0;1;3;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
;245;248;250;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
11;0;1;2;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
;245;248;256;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
12;0;;3;3;this._parsingContext;
;245;;250;3;this._parsingContext;
13;0;;2;4;this._textBuffer;
;245;;256;4;this._textBuffer;
