Number of Variables;10;
Variables:;
0;;this;
1;;this._textBuffer;
2;;this._inputEnd;
3;;this._inputPtr;
4;;this._inputBuffer;
5;;VALUE_STRING;
6;;outBuf;
7;;outPtr;
8;;c;
9;;i;

Number of Block duas;50;
Line Duas for method; _handleApostropheValue;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;1399;1403;1404;0;this;
2;1399;1403;1408;0;this;
3;1399;;1408;0;this;
4;1399;;1408;0;this;
5;1399;;1428;0;this;
6;1399;;1422;0;this;
7;1399;;1434;0;this;
8;1399;;1416;0;this;
9;1399;1404;1405;0;this;
10;1399;1404;1408;0;this;
11;1399;;1405;0;this;
12;1399;;1428;2;this._textBuffer;
13;1399;;1434;2;this._textBuffer;
14;1399;1403;1404;4;this._inputEnd;
15;1399;1403;1408;4;this._inputEnd;
16;1399;1403;1404;5;this._inputPtr;
17;1399;1403;1408;5;this._inputPtr;
18;1399;;1408;5;this._inputPtr;
19;1399;;1408;7;this._inputBuffer;
20;1399;;1435;9;VALUE_STRING;
21;1399;1427;1428;1;outBuf;
22;1399;1427;1432;1;outBuf;
23;1399;;1432;1;outBuf;
24;1400;1427;1428;3;outPtr;
25;1400;1427;1432;3;outPtr;
26;1400;;1432;3;outPtr;
27;1400;;1434;3;outPtr;
28;1408;1403;1404;5;this._inputPtr;
29;1408;1403;1408;5;this._inputPtr;
30;1408;;1408;5;this._inputPtr;
31;1408;;1432;6;c;
32;1409;1410;1411;8;i;
33;1409;1410;1427;8;i;
34;1409;1411;1416;8;i;
35;1409;1411;1417;8;i;
36;1409;1417;1418;8;i;
37;1409;1417;1427;8;i;
38;1409;1418;1419;8;i;
39;1409;1418;1421;8;i;
40;1409;1421;1422;8;i;
41;1409;1421;1427;8;i;
42;1409;;1422;8;i;
43;1416;;1432;6;c;
44;1428;;1432;1;outBuf;
45;1428;1427;1428;1;outBuf;
46;1428;1427;1432;1;outBuf;
47;1429;;1432;3;outPtr;
48;1432;1427;1428;3;outPtr;
49;1432;1427;1432;3;outPtr;
50;1432;;1432;3;outPtr;
51;1432;;1434;3;outPtr;

Block Duas for method; _handleApostropheValue;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;1;13;0;this;
;1399;1403;1404;0;this;
2;0;1;2;0;this;
;1399;1403;1408;0;this;
3;0;;2;0;this;
;1399;;1408;0;this;
;1399;;1408;0;this;
4;0;;5;0;this;
;1399;;1428;0;this;
5;0;;10;0;this;
;1399;;1422;0;this;
6;0;;11;0;this;
;1399;;1434;0;this;
7;0;;12;0;this;
;1399;;1416;0;this;
8;0;13;14;0;this;
;1399;1404;1405;0;this;
9;0;13;2;0;this;
;1399;1404;1408;0;this;
10;0;;14;0;this;
;1399;;1405;0;this;
11;0;;5;1;this._textBuffer;
;1399;;1428;2;this._textBuffer;
12;0;;11;1;this._textBuffer;
;1399;;1434;2;this._textBuffer;
13;0;1;13;2;this._inputEnd;
;1399;1403;1404;4;this._inputEnd;
14;0;1;2;2;this._inputEnd;
;1399;1403;1408;4;this._inputEnd;
15;0;1;13;3;this._inputPtr;
;1399;1403;1404;5;this._inputPtr;
16;0;1;2;3;this._inputPtr;
;1399;1403;1408;5;this._inputPtr;
17;0;;2;3;this._inputPtr;
;1399;;1408;5;this._inputPtr;
18;0;;2;4;this._inputBuffer;
;1399;;1408;7;this._inputBuffer;
19;0;;11;5;VALUE_STRING;
;1399;;1435;9;VALUE_STRING;
20;0;3;5;6;outBuf;
;1399;1427;1428;1;outBuf;
21;0;3;4;6;outBuf;
;1399;1427;1432;1;outBuf;
22;0;;4;6;outBuf;
;1399;;1432;1;outBuf;
23;0;3;5;7;outPtr;
;1400;1427;1428;3;outPtr;
24;0;3;4;7;outPtr;
;1400;1427;1432;3;outPtr;
25;0;;4;7;outPtr;
;1400;;1432;3;outPtr;
26;0;;11;7;outPtr;
;1400;;1434;3;outPtr;
27;2;1;13;3;this._inputPtr;
;1408;1403;1404;5;this._inputPtr;
28;2;1;2;3;this._inputPtr;
;1408;1403;1408;5;this._inputPtr;
29;2;;2;3;this._inputPtr;
;1408;;1408;5;this._inputPtr;
30;2;;4;8;c;
;1408;;1432;6;c;
31;2;2;6;9;i;
;1409;1410;1411;8;i;
32;2;2;3;9;i;
;1409;1410;1427;8;i;
33;2;6;12;9;i;
;1409;1411;1416;8;i;
34;2;6;7;9;i;
;1409;1411;1417;8;i;
35;2;7;8;9;i;
;1409;1417;1418;8;i;
36;2;7;3;9;i;
;1409;1417;1427;8;i;
37;2;8;11;9;i;
;1409;1418;1419;8;i;
38;2;8;9;9;i;
;1409;1418;1421;8;i;
39;2;9;10;9;i;
;1409;1421;1422;8;i;
40;2;9;3;9;i;
;1409;1421;1427;8;i;
41;2;;10;9;i;
;1409;;1422;8;i;
42;12;;4;8;c;
;1416;;1432;6;c;
43;5;;4;6;outBuf;
;1428;;1432;1;outBuf;
44;5;3;5;6;outBuf;
;1428;1427;1428;1;outBuf;
45;5;3;4;6;outBuf;
;1428;1427;1432;1;outBuf;
46;5;;4;7;outPtr;
;1429;;1432;3;outPtr;
47;4;3;5;7;outPtr;
;1432;1427;1428;3;outPtr;
48;4;3;4;7;outPtr;
;1432;1427;1432;3;outPtr;
49;4;;4;7;outPtr;
;1432;;1432;3;outPtr;
50;4;;11;7;outPtr;
;1432;;1434;3;outPtr;
