Number of Variables;8;
Variables:;
0;;this;
1;;matchStr;
2;;i;
3;;this._inputEnd;
4;;this._inputPtr;
5;;this._inputBuffer;
6;;len;
7;;c;

Number of Block duas;63;
Line Duas for method; _matchToken;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;1821;1824;1825;0;this;
2;1821;1824;1829;0;this;
3;1821;1829;1830;0;this;
4;1821;1829;1832;0;this;
5;1821;;1832;0;this;
6;1821;1836;1837;0;this;
7;1821;1836;1841;0;this;
8;1821;;1841;0;this;
9;1821;;1847;0;this;
10;1821;1837;1838;0;this;
11;1821;1837;1841;0;this;
12;1821;;1830;0;this;
13;1821;1825;1826;0;this;
14;1821;1825;1829;0;this;
15;1821;;1826;0;this;
16;1821;1829;1830;1;matchStr;
17;1821;1829;1832;1;matchStr;
18;1821;;1847;1;matchStr;
19;1821;;1830;1;matchStr;
20;1821;;1826;1;matchStr;
21;1821;1829;1830;2;i;
22;1821;1829;1832;2;i;
23;1821;;1833;2;i;
24;1821;;1830;2;i;
25;1821;;1826;2;i;
26;1821;1824;1825;4;this._inputEnd;
27;1821;1824;1829;4;this._inputEnd;
28;1821;1836;1837;4;this._inputEnd;
29;1821;1836;1841;4;this._inputEnd;
30;1821;1824;1825;5;this._inputPtr;
31;1821;1824;1829;5;this._inputPtr;
32;1821;1829;1830;5;this._inputPtr;
33;1821;1829;1832;5;this._inputPtr;
34;1821;;1832;5;this._inputPtr;
35;1821;1829;1830;6;this._inputBuffer;
36;1821;1829;1832;6;this._inputBuffer;
37;1821;;1841;6;this._inputBuffer;
38;1821;1833;1836;3;len;
39;1821;1833;1824;3;len;
40;1832;1824;1825;5;this._inputPtr;
41;1832;1824;1829;5;this._inputPtr;
42;1832;1829;1830;5;this._inputPtr;
43;1832;1829;1832;5;this._inputPtr;
44;1832;;1832;5;this._inputPtr;
45;1832;1836;1837;5;this._inputPtr;
46;1832;1836;1841;5;this._inputPtr;
47;1832;;1841;5;this._inputPtr;
48;1833;1833;1836;2;i;
49;1833;1833;1824;2;i;
50;1833;1829;1830;2;i;
51;1833;1829;1832;2;i;
52;1833;;1833;2;i;
53;1833;;1830;2;i;
54;1833;;1826;2;i;
55;1833;;1847;2;i;
56;1841;1842;1842;7;c;
57;1841;1842;1843;7;c;
58;1841;1842;1842;7;c;
59;1841;1842;1843;7;c;
60;1841;1842;1843;7;c;
61;1841;1842;1846;7;c;
62;1841;1846;1847;7;c;
63;1841;1846;1849;7;c;

Block Duas for method; _matchToken;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;1;15;0;this;
;1821;1824;1825;0;this;
2;0;1;2;0;this;
;1821;1824;1829;0;this;
3;0;2;14;0;this;
;1821;1829;1830;0;this;
4;0;2;3;0;this;
;1821;1829;1832;0;this;
5;0;;3;0;this;
;1821;;1832;0;this;
6;0;4;12;0;this;
;1821;1836;1837;0;this;
7;0;4;5;0;this;
;1821;1836;1841;0;this;
8;0;;5;0;this;
;1821;;1841;0;this;
9;0;;11;0;this;
;1821;;1847;0;this;
10;0;12;13;0;this;
;1821;1837;1838;0;this;
11;0;12;5;0;this;
;1821;1837;1841;0;this;
12;0;;14;0;this;
;1821;;1830;0;this;
13;0;15;16;0;this;
;1821;1825;1826;0;this;
14;0;15;2;0;this;
;1821;1825;1829;0;this;
15;0;;16;0;this;
;1821;;1826;0;this;
16;0;2;14;1;matchStr;
;1821;1829;1830;1;matchStr;
17;0;2;3;1;matchStr;
;1821;1829;1832;1;matchStr;
18;0;;11;1;matchStr;
;1821;;1847;1;matchStr;
19;0;;14;1;matchStr;
;1821;;1830;1;matchStr;
20;0;;16;1;matchStr;
;1821;;1826;1;matchStr;
21;0;2;14;2;i;
;1821;1829;1830;2;i;
22;0;2;3;2;i;
;1821;1829;1832;2;i;
23;0;;3;2;i;
;1821;;1833;2;i;
24;0;;14;2;i;
;1821;;1830;2;i;
25;0;;16;2;i;
;1821;;1826;2;i;
26;0;1;15;3;this._inputEnd;
;1821;1824;1825;4;this._inputEnd;
27;0;1;2;3;this._inputEnd;
;1821;1824;1829;4;this._inputEnd;
28;0;4;12;3;this._inputEnd;
;1821;1836;1837;4;this._inputEnd;
29;0;4;5;3;this._inputEnd;
;1821;1836;1841;4;this._inputEnd;
30;0;1;15;4;this._inputPtr;
;1821;1824;1825;5;this._inputPtr;
31;0;1;2;4;this._inputPtr;
;1821;1824;1829;5;this._inputPtr;
32;0;2;14;4;this._inputPtr;
;1821;1829;1830;5;this._inputPtr;
33;0;2;3;4;this._inputPtr;
;1821;1829;1832;5;this._inputPtr;
34;0;;3;4;this._inputPtr;
;1821;;1832;5;this._inputPtr;
35;0;2;14;5;this._inputBuffer;
;1821;1829;1830;6;this._inputBuffer;
36;0;2;3;5;this._inputBuffer;
;1821;1829;1832;6;this._inputBuffer;
37;0;;5;5;this._inputBuffer;
;1821;;1841;6;this._inputBuffer;
38;0;3;4;6;len;
;1821;1833;1836;3;len;
39;0;3;1;6;len;
;1821;1833;1824;3;len;
40;3;1;15;4;this._inputPtr;
;1832;1824;1825;5;this._inputPtr;
41;3;1;2;4;this._inputPtr;
;1832;1824;1829;5;this._inputPtr;
42;3;2;14;4;this._inputPtr;
;1832;1829;1830;5;this._inputPtr;
43;3;2;3;4;this._inputPtr;
;1832;1829;1832;5;this._inputPtr;
44;3;;3;4;this._inputPtr;
;1832;;1832;5;this._inputPtr;
45;3;4;12;4;this._inputPtr;
;1832;1836;1837;5;this._inputPtr;
46;3;4;5;4;this._inputPtr;
