Number of Variables;13;
Variables:;
0;;this;
1;;hash;
2;;codes;
3;;this._textBuffer;
4;;this._inputBuffer;
5;;this._inputPtr;
6;;this._inputEnd;
7;;this._symbols;
8;;outBuf;
9;;outPtr;
10;;maxCode;
11;;c;
12;;i;

Number of Block duas;52;
Line Duas for method; _parseUnusualFieldName2;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;1441;1447;1448;0;this;
2;1441;1447;1452;0;this;
3;1441;;1452;0;this;
4;1441;;1461;0;this;
5;1441;;1468;0;this;
6;1441;;1472;0;this;
7;1441;;1474;0;this;
8;1441;;1479;0;this;
9;1441;1448;1449;0;this;
10;1441;1448;1452;0;this;
11;1441;;1462;2;hash;
12;1441;;1479;2;hash;
13;1441;1455;1456;3;codes;
14;1441;1455;1461;3;codes;
15;1441;;1468;4;this._textBuffer;
16;1441;;1472;4;this._textBuffer;
17;1441;;1474;4;this._textBuffer;
18;1441;;1452;5;this._inputBuffer;
19;1441;1447;1448;6;this._inputPtr;
20;1441;1447;1452;6;this._inputPtr;
21;1441;;1452;6;this._inputPtr;
22;1441;;1461;6;this._inputPtr;
23;1441;1447;1448;10;this._inputEnd;
24;1441;1447;1452;10;this._inputEnd;
25;1441;;1479;15;this._symbols;
26;1442;;1464;7;outBuf;
27;1442;1467;1468;7;outBuf;
28;1442;1467;1471;7;outBuf;
29;1443;;1464;8;outPtr;
30;1443;;1472;8;outPtr;
31;1444;1454;1455;9;maxCode;
32;1444;1454;1458;9;maxCode;
33;1452;1458;1459;11;c;
34;1452;1458;1461;11;c;
35;1452;;1464;11;c;
36;1453;1454;1455;12;i;
37;1453;1454;1458;12;i;
38;1453;;1462;12;i;
39;1453;1455;1456;12;i;
40;1453;1455;1461;12;i;
41;1461;1447;1448;6;this._inputPtr;
42;1461;1447;1452;6;this._inputPtr;
43;1461;;1452;6;this._inputPtr;
44;1461;;1461;6;this._inputPtr;
45;1462;;1462;2;hash;
46;1462;;1479;2;hash;
47;1464;1467;1468;8;outPtr;
48;1464;1467;1471;8;outPtr;
49;1464;;1464;8;outPtr;
50;1464;;1472;8;outPtr;
51;1468;;1464;7;outBuf;
52;1468;1467;1468;7;outBuf;
53;1468;1467;1471;7;outBuf;
54;1469;;1464;8;outPtr;
55;1469;;1472;8;outPtr;

Block Duas for method; _parseUnusualFieldName2;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;1;11;0;this;
;1441;1447;1448;0;this;
2;0;1;2;0;this;
;1441;1447;1452;0;this;
3;0;;2;0;this;
;1441;;1452;0;this;
4;0;;4;0;this;
;1441;;1461;0;this;
5;0;;6;0;this;
;1441;;1468;0;this;
6;0;;8;0;this;
;1441;;1472;0;this;
;1441;;1474;0;this;
;1441;;1479;0;this;
7;0;11;12;0;this;
;1441;1448;1449;0;this;
8;0;11;2;0;this;
;1441;1448;1452;0;this;
9;0;;4;1;hash;
;1441;;1462;2;hash;
10;0;;8;1;hash;
;1441;;1479;2;hash;
11;0;9;10;2;codes;
;1441;1455;1456;3;codes;
12;0;9;4;2;codes;
;1441;1455;1461;3;codes;
13;0;;6;3;this._textBuffer;
;1441;;1468;4;this._textBuffer;
14;0;;8;3;this._textBuffer;
;1441;;1472;4;this._textBuffer;
;1441;;1474;4;this._textBuffer;
15;0;;2;4;this._inputBuffer;
;1441;;1452;5;this._inputBuffer;
16;0;1;11;5;this._inputPtr;
;1441;1447;1448;6;this._inputPtr;
17;0;1;2;5;this._inputPtr;
;1441;1447;1452;6;this._inputPtr;
18;0;;2;5;this._inputPtr;
;1441;;1452;6;this._inputPtr;
19;0;;4;5;this._inputPtr;
;1441;;1461;6;this._inputPtr;
20;0;1;11;6;this._inputEnd;
;1441;1447;1448;10;this._inputEnd;
21;0;1;2;6;this._inputEnd;
;1441;1447;1452;10;this._inputEnd;
22;0;;8;7;this._symbols;
;1441;;1479;15;this._symbols;
23;0;;4;8;outBuf;
;1442;;1464;7;outBuf;
24;0;4;6;8;outBuf;
;1442;1467;1468;7;outBuf;
25;0;4;5;8;outBuf;
;1442;1467;1471;7;outBuf;
26;0;;4;9;outPtr;
;1443;;1464;8;outPtr;
27;0;;8;9;outPtr;
;1443;;1472;8;outPtr;
28;0;2;9;10;maxCode;
;1444;1454;1455;9;maxCode;
29;0;2;3;10;maxCode;
;1444;1454;1458;9;maxCode;
30;2;3;7;11;c;
;1452;1458;1459;11;c;
31;2;3;4;11;c;
;1452;1458;1461;11;c;
32;2;;4;11;c;
;1452;;1464;11;c;
33;2;2;9;12;i;
;1453;1454;1455;12;i;
34;2;2;3;12;i;
;1453;1454;1458;12;i;
35;2;;4;12;i;
;1453;;1462;12;i;
36;2;9;10;12;i;
;1453;1455;1456;12;i;
37;2;9;4;12;i;
;1453;1455;1461;12;i;
38;4;1;11;5;this._inputPtr;
;1461;1447;1448;6;this._inputPtr;
39;4;1;2;5;this._inputPtr;
;1461;1447;1452;6;this._inputPtr;
40;4;;2;5;this._inputPtr;
;1461;;1452;6;this._inputPtr;
41;4;;4;5;this._inputPtr;
;1461;;1461;6;this._inputPtr;
42;4;;4;1;hash;
;1462;;1462;2;hash;
43;4;;8;1;hash;
;1462;;1479;2;hash;
44;4;4;6;9;outPtr;
;1464;1467;1468;8;outPtr;
45;4;4;5;9;outPtr;
;1464;1467;1471;8;outPtr;
46;4;;4;9;outPtr;
;1464;;1464;8;outPtr;
47;4;;8;9;outPtr;
;1464;;1472;8;outPtr;
48;6;;4;8;outBuf;
;1468;;1464;7;outBuf;
49;6;4;6;8;outBuf;
;1468;1467;1468;7;outBuf;
50;6;4;5;8;outBuf;
;1468;1467;1471;7;outBuf;
51;6;;4;9;outPtr;
;1469;;1464;8;outPtr;
52;6;;8;9;outPtr;
;1469;;1472;8;outPtr;
