Number of Variables;5;
Variables:;
0;;this;
1;;this._inputEnd;
2;;this._inputPtr;
3;;this._inputBuffer;
4;;this._currInputRow;

Number of Block duas;20;
Line Duas for method; _skipCR;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;1623;1623;1623;0;this;
2;1623;1623;1624;0;this;
3;1623;1624;1625;0;this;
4;1623;1624;1628;0;this;
5;1623;;1628;0;this;
6;1623;;1629;0;this;
7;1623;;1625;0;this;
8;1623;1623;1624;0;this;
9;1623;1623;1628;0;this;
10;1623;1623;1623;1;this._inputEnd;
11;1623;1623;1624;1;this._inputEnd;
12;1623;1623;1623;2;this._inputPtr;
13;1623;1623;1624;2;this._inputPtr;
14;1623;1624;1625;2;this._inputPtr;
15;1623;1624;1628;2;this._inputPtr;
16;1623;;1629;2;this._inputPtr;
17;1623;;1625;2;this._inputPtr;
18;1623;1624;1625;3;this._inputBuffer;
19;1623;1624;1628;3;this._inputBuffer;
20;1623;;1628;4;this._currInputRow;
21;1625;;1629;2;this._inputPtr;

Block Duas for method; _skipCR;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;4;0;this;
;1623;1623;1623;0;this;
2;0;0;1;0;this;
;1623;1623;1624;0;this;
3;0;1;3;0;this;
;1623;1624;1625;0;this;
4;0;1;2;0;this;
;1623;1624;1628;0;this;
5;0;;2;0;this;
;1623;;1628;0;this;
;1623;;1629;0;this;
6;0;;3;0;this;
;1623;;1625;0;this;
7;0;4;1;0;this;
;1623;1623;1624;0;this;
8;0;4;2;0;this;
;1623;1623;1628;0;this;
9;0;0;4;1;this._inputEnd;
;1623;1623;1623;1;this._inputEnd;
10;0;0;1;1;this._inputEnd;
;1623;1623;1624;1;this._inputEnd;
11;0;0;4;2;this._inputPtr;
;1623;1623;1623;2;this._inputPtr;
12;0;0;1;2;this._inputPtr;
;1623;1623;1624;2;this._inputPtr;
13;0;1;3;2;this._inputPtr;
;1623;1624;1625;2;this._inputPtr;
14;0;1;2;2;this._inputPtr;
;1623;1624;1628;2;this._inputPtr;
15;0;;2;2;this._inputPtr;
;1623;;1629;2;this._inputPtr;
16;0;;3;2;this._inputPtr;
;1623;;1625;2;this._inputPtr;
17;0;1;3;3;this._inputBuffer;
;1623;1624;1625;3;this._inputBuffer;
18;0;1;2;3;this._inputBuffer;
;1623;1624;1628;3;this._inputBuffer;
19;0;;2;4;this._currInputRow;
;1623;;1628;4;this._currInputRow;
20;3;;2;2;this._inputPtr;
;1625;;1629;2;this._inputPtr;
