Number of Variables;6;
Variables:;
0;;this;
1;;ALLOW_COMMENTS;
2;;this._inputEnd;
3;;this._inputPtr;
4;;this._inputBuffer;
5;;c;

Number of Block duas;25;
Line Duas for method; _skipComment;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;1691;1691;1692;0;this;
2;1691;1691;1695;0;this;
3;1691;1695;1695;0;this;
4;1691;1695;1698;0;this;
5;1691;;1698;0;this;
6;1691;;1698;0;this;
7;1691;;1704;0;this;
8;1691;;1702;0;this;
9;1691;;1700;0;this;
10;1691;1695;1696;0;this;
11;1691;1695;1698;0;this;
12;1691;;1696;0;this;
13;1691;;1692;0;this;
14;1691;1691;1692;1;ALLOW_COMMENTS;
15;1691;1691;1695;1;ALLOW_COMMENTS;
16;1691;1695;1695;2;this._inputEnd;
17;1691;1695;1698;2;this._inputEnd;
18;1691;1695;1695;3;this._inputPtr;
19;1691;1695;1698;3;this._inputPtr;
20;1691;;1698;3;this._inputPtr;
21;1691;;1698;5;this._inputBuffer;
22;1698;1699;1700;4;c;
23;1698;1699;1701;4;c;
24;1698;1701;1702;4;c;
25;1698;1701;1704;4;c;
26;1698;;1704;4;c;

Block Duas for method; _skipComment;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;10;0;this;
;1691;1691;1692;0;this;
2;0;0;1;0;this;
;1691;1691;1695;0;this;
3;0;1;8;0;this;
;1691;1695;1695;0;this;
4;0;1;2;0;this;
;1691;1695;1698;0;this;
5;0;;2;0;this;
;1691;;1698;0;this;
;1691;;1698;0;this;
6;0;;4;0;this;
;1691;;1704;0;this;
7;0;;6;0;this;
;1691;;1702;0;this;
8;0;;7;0;this;
;1691;;1700;0;this;
9;0;8;9;0;this;
;1691;1695;1696;0;this;
10;0;8;2;0;this;
;1691;1695;1698;0;this;
11;0;;9;0;this;
;1691;;1696;0;this;
12;0;;10;0;this;
;1691;;1692;0;this;
13;0;0;10;1;ALLOW_COMMENTS;
;1691;1691;1692;1;ALLOW_COMMENTS;
14;0;0;1;1;ALLOW_COMMENTS;
;1691;1691;1695;1;ALLOW_COMMENTS;
15;0;1;8;2;this._inputEnd;
;1691;1695;1695;2;this._inputEnd;
16;0;1;2;2;this._inputEnd;
;1691;1695;1698;2;this._inputEnd;
17;0;1;8;3;this._inputPtr;
;1691;1695;1695;3;this._inputPtr;
18;0;1;2;3;this._inputPtr;
;1691;1695;1698;3;this._inputPtr;
19;0;;2;3;this._inputPtr;
;1691;;1698;3;this._inputPtr;
20;0;;2;4;this._inputBuffer;
;1691;;1698;5;this._inputBuffer;
21;2;2;7;5;c;
;1698;1699;1700;4;c;
22;2;2;3;5;c;
;1698;1699;1701;4;c;
23;2;3;6;5;c;
;1698;1701;1702;4;c;
24;2;3;4;5;c;
;1698;1701;1704;4;c;
25;2;;4;5;c;
;1698;;1704;4;c;
