Number of Variables;5;
Variables:;
0;;this;
1;;this._inputEnd;
2;;this._inputPtr;
3;;this._inputBuffer;
4;;i;

Number of Block duas;30;
Line Duas for method; _skipWSOrEnd;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;1664;1664;1664;0;this;
2;1664;1664;1665;0;this;
3;1664;;1665;0;this;
4;1664;;1665;0;this;
5;1664;;1679;0;this;
6;1664;;1677;0;this;
7;1664;;1675;0;this;
8;1664;;1668;0;this;
9;1664;1664;1665;0;this;
10;1664;1664;1684;0;this;
11;1664;;1684;0;this;
12;1664;1664;1664;1;this._inputEnd;
13;1664;1664;1665;1;this._inputEnd;
14;1664;1664;1664;2;this._inputPtr;
15;1664;1664;1665;2;this._inputPtr;
16;1664;;1665;2;this._inputPtr;
17;1664;;1665;4;this._inputBuffer;
18;1665;1666;1667;3;i;
19;1665;1666;1673;3;i;
20;1665;1673;1674;3;i;
21;1665;1673;1682;3;i;
22;1665;1674;1675;3;i;
23;1665;1674;1676;3;i;
24;1665;1676;1677;3;i;
25;1665;1676;1678;3;i;
26;1665;1678;1679;3;i;
27;1665;1678;1682;3;i;
28;1665;;1679;3;i;
29;1665;1667;1668;3;i;
30;1665;1667;1671;3;i;
31;1665;;1671;3;i;

Block Duas for method; _skipWSOrEnd;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;13;0;this;
;1664;1664;1664;0;this;
2;0;0;1;0;this;
;1664;1664;1665;0;this;
3;0;;1;0;this;
;1664;;1665;0;this;
;1664;;1665;0;this;
4;0;;7;0;this;
;1664;;1679;0;this;
5;0;;8;0;this;
;1664;;1677;0;this;
6;0;;9;0;this;
;1664;;1675;0;this;
7;0;;12;0;this;
;1664;;1668;0;this;
8;0;13;1;0;this;
;1664;1664;1665;0;this;
9;0;13;14;0;this;
;1664;1664;1684;0;this;
10;0;;14;0;this;
;1664;;1684;0;this;
11;0;0;13;1;this._inputEnd;
;1664;1664;1664;1;this._inputEnd;
12;0;0;1;1;this._inputEnd;
;1664;1664;1665;1;this._inputEnd;
13;0;0;13;2;this._inputPtr;
;1664;1664;1664;2;this._inputPtr;
14;0;0;1;2;this._inputPtr;
;1664;1664;1665;2;this._inputPtr;
15;0;;1;2;this._inputPtr;
;1664;;1665;2;this._inputPtr;
16;0;;1;3;this._inputBuffer;
;1664;;1665;4;this._inputBuffer;
17;1;1;10;4;i;
;1665;1666;1667;3;i;
18;1;1;2;4;i;
;1665;1666;1673;3;i;
19;1;2;4;4;i;
;1665;1673;1674;3;i;
20;1;2;3;4;i;
;1665;1673;1682;3;i;
21;1;4;9;4;i;
;1665;1674;1675;3;i;
22;1;4;5;4;i;
;1665;1674;1676;3;i;
23;1;5;8;4;i;
;1665;1676;1677;3;i;
24;1;5;6;4;i;
;1665;1676;1678;3;i;
25;1;6;7;4;i;
;1665;1678;1679;3;i;
26;1;6;3;4;i;
;1665;1678;1682;3;i;
27;1;;7;4;i;
;1665;;1679;3;i;
28;1;10;12;4;i;
;1665;1667;1668;3;i;
29;1;10;11;4;i;
;1665;1667;1671;3;i;
30;1;;11;4;i;
;1665;;1671;3;i;
