Number of Variables;6;
Variables:;
0;;this;
1;;this._inputEnd;
2;;this._inputPtr;
3;;this._inputBuffer;
4;;ALLOW_NUMERIC_LEADING_ZEROS;
5;;ch;

Number of Block duas;49;
Line Duas for method; _verifyNoLeadingZeroes;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;1091;1091;1091;0;this;
2;1091;1091;1094;0;this;
3;1091;;1094;0;this;
4;1091;1099;1100;0;this;
5;1091;1099;1103;0;this;
6;1091;;1103;0;this;
7;1091;1105;1105;0;this;
8;1091;1105;1106;0;this;
9;1091;;1106;0;this;
10;1091;;1110;0;this;
11;1091;1105;1106;0;this;
12;1091;1105;1116;0;this;
13;1091;;1100;0;this;
14;1091;1091;1092;0;this;
15;1091;1091;1094;0;this;
16;1091;1091;1091;1;this._inputEnd;
17;1091;1091;1094;1;this._inputEnd;
18;1091;1105;1105;1;this._inputEnd;
19;1091;1105;1106;1;this._inputEnd;
20;1091;1091;1091;2;this._inputPtr;
21;1091;1091;1094;2;this._inputPtr;
22;1091;;1094;2;this._inputPtr;
23;1091;;1103;2;this._inputPtr;
24;1091;;1094;4;this._inputBuffer;
25;1091;;1106;4;this._inputBuffer;
26;1091;1099;1100;5;ALLOW_NUMERIC_LEADING_ZEROS;
27;1091;1099;1103;5;ALLOW_NUMERIC_LEADING_ZEROS;
28;1094;1096;1096;3;ch;
29;1094;1096;1097;3;ch;
30;1094;1096;1097;3;ch;
31;1094;1096;1099;3;ch;
32;1094;1104;1105;3;ch;
33;1094;1104;1116;3;ch;
34;1094;;1116;3;ch;
35;1103;1105;1105;2;this._inputPtr;
36;1103;1105;1106;2;this._inputPtr;
37;1103;;1106;2;this._inputPtr;
38;1103;;1110;2;this._inputPtr;
39;1106;1107;1107;3;ch;
40;1106;1107;1108;3;ch;
41;1106;1107;1108;3;ch;
42;1106;1107;1110;3;ch;
43;1106;1111;1112;3;ch;
44;1106;1111;1105;3;ch;
45;1106;;1116;3;ch;
46;1110;1105;1105;2;this._inputPtr;
47;1110;1105;1106;2;this._inputPtr;
48;1110;;1106;2;this._inputPtr;
49;1110;;1110;2;this._inputPtr;

Block Duas for method; _verifyNoLeadingZeroes;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;15;0;this;
;1091;1091;1091;0;this;
2;0;0;1;0;this;
;1091;1091;1094;0;this;
3;0;;1;0;this;
;1091;;1094;0;this;
4;0;4;14;0;this;
;1091;1099;1100;0;this;
5;0;4;5;0;this;
;1091;1099;1103;0;this;
6;0;;5;0;this;
;1091;;1103;0;this;
7;0;7;13;0;this;
;1091;1105;1105;0;this;
8;0;7;8;0;this;
;1091;1105;1106;0;this;
9;0;;8;0;this;
;1091;;1106;0;this;
10;0;;11;0;this;
;1091;;1110;0;this;
11;0;13;8;0;this;
;1091;1105;1106;0;this;
12;0;13;6;0;this;
;1091;1105;1116;0;this;
13;0;;14;0;this;
;1091;;1100;0;this;
14;0;15;16;0;this;
;1091;1091;1092;0;this;
15;0;15;1;0;this;
;1091;1091;1094;0;this;
16;0;0;15;1;this._inputEnd;
;1091;1091;1091;1;this._inputEnd;
17;0;0;1;1;this._inputEnd;
;1091;1091;1094;1;this._inputEnd;
18;0;7;13;1;this._inputEnd;
;1091;1105;1105;1;this._inputEnd;
19;0;7;8;1;this._inputEnd;
;1091;1105;1106;1;this._inputEnd;
20;0;0;15;2;this._inputPtr;
;1091;1091;1091;2;this._inputPtr;
21;0;0;1;2;this._inputPtr;
;1091;1091;1094;2;this._inputPtr;
22;0;;1;2;this._inputPtr;
;1091;;1094;2;this._inputPtr;
23;0;;5;2;this._inputPtr;
;1091;;1103;2;this._inputPtr;
24;0;;1;3;this._inputBuffer;
;1091;;1094;4;this._inputBuffer;
25;0;;8;3;this._inputBuffer;
;1091;;1106;4;this._inputBuffer;
26;0;4;14;4;ALLOW_NUMERIC_LEADING_ZEROS;
;1091;1099;1100;5;ALLOW_NUMERIC_LEADING_ZEROS;
27;0;4;5;4;ALLOW_NUMERIC_LEADING_ZEROS;
;1091;1099;1103;5;ALLOW_NUMERIC_LEADING_ZEROS;
28;1;1;3;5;ch;
;1094;1096;1096;3;ch;
29;1;1;2;5;ch;
;1094;1096;1097;3;ch;
30;1;3;2;5;ch;
;1094;1096;1097;3;ch;
31;1;3;4;5;ch;
;1094;1096;1099;3;ch;
32;1;5;7;5;ch;
;1094;1104;1105;3;ch;
33;1;5;6;5;ch;
;1094;1104;1116;3;ch;
34;1;;6;5;ch;
;1094;;1116;3;ch;
35;5;7;13;2;this._inputPtr;
;1103;1105;1105;2;this._inputPtr;
36;5;7;8;2;this._inputPtr;
;1103;1105;1106;2;this._inputPtr;
37;5;;8;2;this._inputPtr;
;1103;;1106;2;this._inputPtr;
38;5;;11;2;this._inputPtr;
;1103;;1110;2;this._inputPtr;
39;8;8;10;5;ch;
;1106;1107;1107;3;ch;
40;8;8;9;5;ch;
;1106;1107;1108;3;ch;
41;8;10;9;5;ch;
;1106;1107;1108;3;ch;
42;8;10;11;5;ch;
;1106;1107;1110;3;ch;
43;8;11;12;5;ch;
;1106;1111;1112;3;ch;
44;8;11;7;5;ch;
;1106;1111;1105;3;ch;
45;8;;6;5;ch;
;1106;;1116;3;ch;
46;11;7;13;2;this._inputPtr;
;1110;1105;1105;2;this._inputPtr;
47;11;7;8;2;this._inputPtr;
;1110;1105;1106;2;this._inputPtr;
48;11;;8;2;this._inputPtr;
;1110;;1106;2;this._inputPtr;
49;11;;11;2;this._inputPtr;
;1110;;1110;2;this._inputPtr;
