Number of Variables;7;
Variables:;
0;;this;
1;;b64variant;
2;;VALUE_STRING;
3;;this._currToken;
4;;VALUE_EMBEDDED_OBJECT;
5;;this._binaryValue;
6;;this._tokenIncomplete;

Number of Block duas;34;
Line Duas for method; getBinaryValue;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;353;353;353;0;this;
2;353;353;360;0;this;
3;353;360;362;0;this;
4;353;360;371;0;this;
5;353;371;373;0;this;
6;353;371;378;0;this;
7;353;;378;0;this;
8;353;;373;0;this;
9;353;;374;0;this;
10;353;;375;0;this;
11;353;;362;0;this;
12;353;;369;0;this;
13;353;353;353;0;this;
14;353;353;355;0;this;
15;353;;355;0;this;
16;353;353;355;0;this;
17;353;353;360;0;this;
18;353;;374;1;b64variant;
19;353;;362;1;b64variant;
20;353;353;353;2;VALUE_STRING;
21;353;353;360;2;VALUE_STRING;
22;353;353;353;3;this._currToken;
23;353;353;360;3;this._currToken;
24;353;353;353;3;this._currToken;
25;353;353;355;3;this._currToken;
26;353;;355;3;this._currToken;
27;353;353;353;4;VALUE_EMBEDDED_OBJECT;
28;353;353;355;4;VALUE_EMBEDDED_OBJECT;
29;353;371;373;5;this._binaryValue;
30;353;371;378;5;this._binaryValue;
31;353;;378;5;this._binaryValue;
32;353;353;355;5;this._binaryValue;
33;353;353;360;5;this._binaryValue;
34;353;360;362;6;this._tokenIncomplete;
35;353;360;371;6;this._tokenIncomplete;
36;362;;378;5;this._binaryValue;
37;375;;378;5;this._binaryValue;

Block Duas for method; getBinaryValue;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;6;0;this;
;353;353;353;0;this;
2;0;0;1;0;this;
;353;353;360;0;this;
3;0;1;5;0;this;
;353;360;362;0;this;
4;0;1;2;0;this;
;353;360;371;0;this;
5;0;2;4;0;this;
;353;371;373;0;this;
6;0;2;3;0;this;
;353;371;378;0;this;
7;0;;3;0;this;
;353;;378;0;this;
8;0;;4;0;this;
;353;;373;0;this;
;353;;374;0;this;
;353;;375;0;this;
9;0;;5;0;this;
;353;;362;0;this;
;353;;369;0;this;
10;0;6;8;0;this;
;353;353;353;0;this;
11;0;6;7;0;this;
;353;353;355;0;this;
12;0;;7;0;this;
;353;;355;0;this;
13;0;8;7;0;this;
;353;353;355;0;this;
14;0;8;1;0;this;
;353;353;360;0;this;
15;0;;4;1;b64variant;
;353;;374;1;b64variant;
16;0;;5;1;b64variant;
;353;;362;1;b64variant;
17;0;0;6;2;VALUE_STRING;
;353;353;353;2;VALUE_STRING;
18;0;0;1;2;VALUE_STRING;
;353;353;360;2;VALUE_STRING;
19;0;0;6;3;this._currToken;
;353;353;353;3;this._currToken;
20;0;0;1;3;this._currToken;
;353;353;360;3;this._currToken;
21;0;6;8;3;this._currToken;
;353;353;353;3;this._currToken;
22;0;6;7;3;this._currToken;
;353;353;355;3;this._currToken;
23;0;;7;3;this._currToken;
;353;;355;3;this._currToken;
24;0;6;8;4;VALUE_EMBEDDED_OBJECT;
;353;353;353;4;VALUE_EMBEDDED_OBJECT;
25;0;6;7;4;VALUE_EMBEDDED_OBJECT;
;353;353;355;4;VALUE_EMBEDDED_OBJECT;
26;0;2;4;5;this._binaryValue;
;353;371;373;5;this._binaryValue;
27;0;2;3;5;this._binaryValue;
;353;371;378;5;this._binaryValue;
28;0;;3;5;this._binaryValue;
;353;;378;5;this._binaryValue;
29;0;8;7;5;this._binaryValue;
;353;353;355;5;this._binaryValue;
30;0;8;1;5;this._binaryValue;
;353;353;360;5;this._binaryValue;
31;0;1;5;6;this._tokenIncomplete;
;353;360;362;6;this._tokenIncomplete;
32;0;1;2;6;this._tokenIncomplete;
;353;360;371;6;this._tokenIncomplete;
33;5;;3;5;this._binaryValue;
;362;;378;5;this._binaryValue;
34;4;;3;5;this._binaryValue;
;375;;378;5;this._binaryValue;
