Number of Variables;5;
Variables:;
0;;this;
1;;eofMsg;
2;;this._inputEnd;
3;;this._inputPtr;
4;;this._inputBuffer;

Number of Block duas;13;
Line Duas for method; getNextChar;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;141;141;142;0;this;
2;141;141;146;0;this;
3;141;;146;0;this;
4;141;;146;0;this;
5;141;142;143;0;this;
6;141;142;146;0;this;
7;141;;143;0;this;
8;141;;143;1;eofMsg;
9;141;141;142;2;this._inputEnd;
10;141;141;146;2;this._inputEnd;
11;141;141;142;3;this._inputPtr;
12;141;141;146;3;this._inputPtr;
13;141;;146;3;this._inputPtr;
14;141;;146;4;this._inputBuffer;

Block Duas for method; getNextChar;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;this;
;141;141;142;0;this;
2;0;0;1;0;this;
;141;141;146;0;this;
3;0;;1;0;this;
;141;;146;0;this;
;141;;146;0;this;
4;0;2;3;0;this;
;141;142;143;0;this;
5;0;2;1;0;this;
;141;142;146;0;this;
6;0;;3;0;this;
;141;;143;0;this;
7;0;;3;1;eofMsg;
;141;;143;1;eofMsg;
8;0;0;2;2;this._inputEnd;
;141;141;142;2;this._inputEnd;
9;0;0;1;2;this._inputEnd;
;141;141;146;2;this._inputEnd;
10;0;0;2;3;this._inputPtr;
;141;141;142;3;this._inputPtr;
11;0;0;1;3;this._inputPtr;
;141;141;146;3;this._inputPtr;
12;0;;1;3;this._inputPtr;
;141;;146;3;this._inputPtr;
13;0;;1;4;this._inputBuffer;
;141;;146;4;this._inputBuffer;
