Number of Variables;5;
Variables:;
0;;this;
1;;VALUE_STRING;
2;;this._tokenIncomplete;
3;;this._textBuffer;
4;;t;

Number of Block duas;13;
Line Duas for method; getText;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;201;;209;0;this;
2;201;203;204;0;this;
3;201;203;207;0;this;
4;201;;207;0;this;
5;201;;204;0;this;
6;201;;205;0;this;
7;201;202;203;3;VALUE_STRING;
8;201;202;209;3;VALUE_STRING;
9;201;203;204;4;this._tokenIncomplete;
10;201;203;207;4;this._tokenIncomplete;
11;201;;207;5;this._textBuffer;
12;201;202;203;1;t;
13;201;202;209;1;t;
14;201;;209;1;t;

Block Duas for method; getText;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;1;0;this;
;201;;209;0;this;
2;0;2;4;0;this;
;201;203;204;0;this;
3;0;2;3;0;this;
;201;203;207;0;this;
4;0;;3;0;this;
;201;;207;0;this;
5;0;;4;0;this;
;201;;204;0;this;
;201;;205;0;this;
6;0;0;2;1;VALUE_STRING;
;201;202;203;3;VALUE_STRING;
7;0;0;1;1;VALUE_STRING;
;201;202;209;3;VALUE_STRING;
8;0;2;4;2;this._tokenIncomplete;
;201;203;204;4;this._tokenIncomplete;
9;0;2;3;2;this._tokenIncomplete;
;201;203;207;4;this._tokenIncomplete;
10;0;;3;3;this._textBuffer;
;201;;207;5;this._textBuffer;
11;0;0;2;4;t;
;201;202;203;1;t;
12;0;0;1;4;t;
;201;202;209;1;t;
13;0;;1;4;t;
;201;;209;1;t;
